,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude
1142,Sunnybrook Health Sciences Centre - D6,2075 Bayview Ave,Hospital-Acute Care,Other,CPE,2019-09-12,2019-10-03,Inactive,-79.3792695,43.7235801
1143,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Unable to identify,2019-09-07,2019-09-24,Inactive,-79.3489587,43.7361257
1144,Kinsington Gardens North - 1 West,45 Brunswick Ave,LTCH,Respiratory,Unable to identify,2019-09-07,2019-09-18,Inactive,-79.404305,43.658784
1145,Hellenic Home - 2 A Wing,2411 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2019-08-28,2019-09-05,Inactive,-79.2746356,43.7493249
1146,North York General Hospital - Seniors' Health Centre -1st Fl,2 Buchan Crt,LTCH,Respiratory,Unable to identify,2019-08-28,2019-09-18,Inactive,-79.35998,43.772849
1147,Michael Garron Hospital - 2nd Fl - ICU,825 Coxwell Ave,Hospital-Acute Care,Enteric,Clostridium difficile,2019-08-27,2019-09-23,Inactive,-79.3236782,43.6896572
1148,The Wexford - 4th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2019-08-26,2019-09-09,Inactive,-79.3024148,43.7438388
1149,North York General Hospital - Seniors' Health Centre -2nd Fl,2 Buchan Crt,LTCH,Enteric,Unable to identify,2019-08-20,2019-09-09,Inactive,-79.35998,43.772849
1150,Sunnybrook Health Sciences Centre - D6,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,2019-08-20,2019-10-03,Inactive,-79.3792695,43.7235801
1151,Toronto General Hospital - 6MA,200 Elizabeth St,Hospital-Acute Care,Enteric,Clostridium difficile,2019-08-15,2019-08-23,Inactive,-79.3869528,43.6583672
1152,Sunnybrook Health Sciences Centre - RCC-Church Site-Unit A3N,200 Church St,Hospital-Chronic Care,Respiratory,Parainfluenza,2019-08-14,2019-08-22,Inactive,-79.510442,43.709345
1153,Lakeside Long Term Care Centre - 1st & 2nd Fl,150 Dunn Ave,LTCH,Respiratory,Unable to identify,2019-08-12,2019-08-26,Inactive,-79.4326664,43.6356584
1154,Belmont House - 2WW,55 Belmont St,LTCH,Respiratory,Unable to identify,2019-08-07,2019-08-19,Inactive,-79.39170138466517,43.67449825
1155,Tony Stacey Centre for Veterans Care,59 Lawson Rd,LTCH,Respiratory,Unable to identify,2019-07-30,2019-08-09,Inactive,-79.16359737687672,43.78421151514884
1156,Kipling Acres - 2nd Fl North,2233 Kipling Ave,LTCH,Respiratory,Unable to identify,2019-07-25,2019-08-08,Inactive,-79.571631,43.725014
1157,Shepherd Lodge - 4th Fl,3760 Sheppard Ave E,LTCH,Respiratory,Unable to identify,2019-07-24,2019-08-03,Inactive,-79.294078,43.782836
1158,Bendale Acres - 4th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2019-07-22,2019-07-30,Inactive,-79.2516534,43.7543919
1159,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Unable to identify,2019-07-18,2019-07-26,Inactive,-79.13997840570175,43.7988385
1160,Carefree Lodge - 2nd Fl,306 Finch Ave E,LTCH,Respiratory,Unable to identify,2019-07-18,2019-07-27,Inactive,-79.392388,43.7850419
1161,Centre for Addiction & Mental Health - Queen Site - 1-4,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,2019-07-18,2019-07-27,Inactive,-79.4186199,43.6438339
1162,North York General Hospital - Seniors' Health Centre -2nd Fl,2 Buchan Crt,LTCH,Enteric,Unable to identify,2019-07-16,2019-07-25,Inactive,-79.35998,43.772849
1163,Eatonville Care Centre - 2nd & 3rd Fl,420 The East Mall,LTCH,Respiratory,Unable to identify,2019-07-15,2019-07-20,Inactive,-79.560686,43.64745
1164,Midland Gardens Care Community - 2nd & 4th Fl,130 Midland Ave,LTCH,Enteric,Unable to identify,2019-07-12,2019-07-22,Inactive,-79.2469846,43.7077593
1165,Westside - 2nd Fl,1145 Albion Rd,LTCH,Respiratory,Unable to identify,2019-07-10,2019-07-23,Inactive,-79.5667899,43.7373503
1166,Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Unable to identify,2019-07-09,2019-07-23,Inactive,-79.44484073636364,43.78182523636364
1167,North York General Hospital - Seniors' Health Centre -2nd Fl,2 Buchan Crt,LTCH,Respiratory,Unable to identify,2019-07-09,2019-07-29,Inactive,-79.35998,43.772849
1168,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Unable to identify,2019-07-08,2019-07-25,Inactive,-79.3316241,43.66280613333333
1169,Sunnybrook Health Science Centre - Unit K-3 East,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2019-07-07,2019-07-15,Inactive,-79.3792695,43.7235801
1170,Seven Oaks - 1st & 4th Fl Unit,9 Neilson Rd,LTCH,Respiratory,Unable to identify,2019-07-02,2019-07-18,Inactive,-79.2034339,43.7794412
1171,The O'Neill Centre - 4th & 5th Fl,33 Christie St,LTCH,Respiratory,Unable to identify,2019-06-28,2019-07-18,Inactive,-79.4186528,43.6647391
1172,Cummer Lodge - 3 North (Secure Unit),205 Cummer Ave,LTCH,Respiratory,Unable to identify,2019-06-25,2019-07-13,Inactive,-79.40816758965518,43.78889555517242
1173,Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Respiratory,Unable to identify,2019-06-20,2019-07-05,Inactive,-79.56570787160844,43.629111449999996
1174,Midland Gardens Care Community - 4th Fl,130 Midland Ave,LTCH,Enteric,Unable to identify,2019-06-19,2019-07-04,Inactive,-79.2469846,43.7077593
1175,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2019-06-18,2019-07-15,Inactive,-79.2468577,43.7550969
1176,Harmony Hills Care Community - Melody Lane (Main Fl),1800 O'Connor Dr,LTCH,Respiratory,Unable to identify,2019-06-14,2019-06-27,Inactive,-79.30522822012195,43.7204409
1177,Eatonville Care Centre - 4th & 5th Fl,420 The East Mall,LTCH,Respiratory,Unable to identify,2019-06-13,2019-07-07,Inactive,-79.560686,43.64745
1178,Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Unable to identify,2019-06-09,2019-06-17,Inactive,-79.44484073636364,43.78182523636364
1179,Fountain View Care Community - Woodland/Skyview (3rd Fl),1800 O'Connor Dr,LTCH,Respiratory,Unable to identify,2019-06-06,2019-06-14,Inactive,-79.30522822012195,43.7204409
1180,Rockcliffe Care Community - 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2019-06-06,2019-06-14,Inactive,-79.2468577,43.7550969
1181,Weston Terrace Care Community - MacDonald Pathway (2A),2005 Lawrence Ave W,LTCH,Respiratory,Parainfluenza,2019-06-05,2019-06-24,Inactive,-79.51072231818182,43.70133497272727
1182,Tendercare Living Centre - 3 West,1020 McNicoll Ave,LTCH,Respiratory,Metapneumovirus,2019-06-04,2019-06-19,Inactive,-79.3361316,43.8042581
1183,Shepherd Lodge Nursing Home - 4th Fl,3760 Sheppard Ave E,LTCH,Respiratory,Unable to identify,2019-06-01,2019-06-10,Inactive,-79.294078,43.782836
1184,Hawthorne Place Care Centre - 1st & 2nd Fl,2045 Finch Ave W,LTCH,Respiratory,Unable to identify,2019-05-31,2019-06-11,Inactive,-79.5222631,43.7562487
1185,The O'Neill Centre - 3rd & 4th Fl,33 Christie St,LTCH,Respiratory,Unable to identify,2019-05-28,2019-06-09,Inactive,-79.4186528,43.6647391
1186,Sunnybrook Health Sciences Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza,2019-05-27,2019-06-03,Inactive,-79.3792695,43.7235801
1187,Bendale Acres - 2 East,2920 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2019-05-24,2019-06-04,Inactive,-79.2516534,43.7543919
1188,Davenhill Senior Living - 4th Fl - Secure Unit,877 Yonge St,Retirement Home,Respiratory,Unable to identify,2019-05-21,2019-05-31,Inactive,-79.387959,43.674026
1189,North York General Hospital - Seniors' Health Centre -1st Fl,2 Buchan Crt,LTCH,Respiratory,Metapneumovirus,2019-05-21,2019-06-02,Inactive,-79.35998,43.772849
1190,Providence Health Care - B3 North Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Parainfluenza,2019-05-18,2019-06-01,Inactive,-79.2861565,43.7135926
1191,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza,2019-05-18,2019-05-27,Inactive,-79.3792695,43.7235801
1192,Cedarvale Terrace - 2nd & 3rd Fl,429 Walmer Rd,LTCH,Enteric,Unable to identify,2019-05-17,2019-06-03,Inactive,-79.412483,43.685423
1193,Craiglee Nursing Home,102 Craiglee Dr,LTCH,Respiratory,Unable to identify,2019-05-17,2019-05-27,Inactive,-79.2528019,43.7067792
1194,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Respiratory,Metapneumovirus,2019-05-16,2019-05-31,Inactive,-79.3361316,43.8042581
1195,Ivan Franko Ukrainian Home - 1st & 2nd Fl,767 Royal York Rd,LTCH,Enteric,Unable to identify,2019-05-14,2019-05-25,Inactive,-79.50674173953753,43.637744850000004
1196,"West Park Healthcare Centre - 3WD, 3WE & 3WF",82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza A,2019-05-11,2019-05-23,Inactive,-79.5098225,43.687805
1197,West Park Long Term Care Centre - 3rd Fl Glenwyld/Raymore,82 Buttonwood Ave,LTCH,Respiratory,Unable to identify,2019-05-07,2019-05-15,Inactive,-79.5098225,43.687805
1198,Seven Oaks - 4th Fl,9 Neilson Rd,LTCH,Respiratory,Metapneumovirus,2019-05-03,2019-05-11,Inactive,-79.2034339,43.7794412
1199,Scarborough Health Network - General Site - Unit 4C,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Parainfluenza,2019-05-02,2019-05-08,Inactive,-79.246316,43.7566259
1200,Sunnybrook Health Sciences Centre - Acute Unit F2,2075 Bayview Ave,Hospital-Acute Care,Enteric,Unable to identify,2019-05-01,2019-05-07,Inactive,-79.3792695,43.7235801
1201,Fountain View Care Community - 1st Fl,1800 O'Connor Dr,LTCH,Respiratory,Unable to identify,2019-04-26,2019-05-07,Inactive,-79.30522822012195,43.7204409
1202,Mon Sheong Scarborough Long Term Care Centre - 4th Fl,2030 McNicoll Ave,LTCH,Respiratory,Influenza A,2019-04-26,2019-05-15,Inactive,-79.2994857,43.8128599
1203,Castleview Wychwood Towers - 2W & 4th Fl,351 Christie St,LTCH,Respiratory,Unable to identify,2019-04-25,2019-05-03,Inactive,-79.42113793274277,43.673349
1204,St. Joseph's Health Centre - Unit 4M,30 The Queensway,Hospital-Acute Care,Enteric,Clostridium difficile,2019-04-24,2019-05-09,Inactive,-79.450101,43.639359
1205,Chartwell Westbury Long Term Care Residence - 3rd & 7th Fl,495 The West Mall,LTCH,Respiratory,Influenza A,2019-04-23,2019-05-03,Inactive,-79.567866,43.648303
1206,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Unable to identify,2019-04-18,2019-04-27,Inactive,-79.5098225,43.687805
1207,Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Respiratory,Influenza A,2019-04-17,2019-04-30,Inactive,-79.45390335882352,43.752403364705884
1209,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Unable to identify,2019-04-16,2019-05-01,Inactive,-79.3904512,43.7932278
1210,Seven Oaks - 4th Fl,9 Neilson Rd,LTCH,Respiratory,Influenza A,2019-04-16,2019-05-03,Inactive,-79.2034339,43.7794412
1211,One Kenton Place,1 Kenton Dr,Retirement Home,Respiratory,Unable to identify,2019-04-12,2019-04-21,Inactive,-79.4432169,43.77803
1212,Yee Hong Centre for Geriatric Care (McNicoll) - 2nd Fl,2311 McNicoll Ave,LTCH,Respiratory,Influenza A,2019-04-12,2019-04-23,Inactive,-79.2899939,43.8144476
1214,Chartwell Scarlett Heights Retirement Residence,4005 Eglinton Ave W,Retirement Home,Enteric,Unable to identify,2019-04-10,2019-04-16,Inactive,-79.5125369,43.6836338
1215,Baycrest Hospital - 3 West,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A,2019-04-09,2019-04-14,Inactive,-79.4361036,43.7292745
1216,Sunnybrook Health Sciences Centre - Unit F2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza A,2019-04-06,2019-04-17,Inactive,-79.3792695,43.7235801
1218,"Yee Hong Centre for Geriatric Care (Finch) - 2nd, 5th &",60 Scottfield Dr - 6th Fl,LTCH,Respiratory,Influenza A,2019-04-03,2019-04-24,Inactive,-79.25453972658863,43.8086905
1219,Castleview Wychwood Towers - 2nd Fl,351 Christie St,LTCH,Respiratory,Unable to identify,2019-04-02,2019-04-11,Inactive,-79.42113793274277,43.673349
1220,Leaside Retirement Residence - Building 10 - 3rd & 6th Fl,10 William Morgan Dr,Retirement Home,Respiratory,Metapneumovirus,2019-04-02,2019-04-23,Inactive,-79.341769,43.709379
1221,Chartwell Avondale Retirement Residence,1238 Queen St E,Retirement Home,Enteric,Norovirus-like,2019-04-01,2019-04-16,Inactive,-79.3297602125,43.66348025
1222,Norfinch Care Community,22 Norfinch Dr,LTCH,Respiratory,Influenza A,2019-04-01,2019-04-13,Inactive,-79.52465315351665,43.75628127207558
1223,Village of Humber Heights Long Term Care - Weston,2245 Lawrence Ave W,LTCH,Respiratory,Respiratory syncytial virus,2019-04-01,2019-04-18,Inactive,-79.527245,43.6972121
1224,The Donway Place,8 The Donway E,Retirement Home,Enteric,Unable to identify,2019-03-29,2019-04-10,Inactive,-79.340067,43.733914
1225,West Park Long Term Care Centre - Kingsway/ Illaali Fl,82 Buttonwood Ave,LTCH,Enteric,Unable to identify,2019-03-29,2019-04-06,Inactive,-79.5098225,43.687805
1226,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Unable to identify,2019-03-28,2019-04-11,Inactive,-79.3726983,43.8083147
1227,Tapestry at Village Gate West - 3rd Fl,15 Summerland Terr,Retirement Home,Respiratory,Influenza A,2019-03-28,2019-04-06,Inactive,-79.532273,43.644044
1228,Vermont Square - 3rd Fl,914 Bathurst St,LTCH,Respiratory,Parainfluenza,2019-03-28,2019-04-10,Inactive,-79.4126122,43.6682389
1230,Sunnybrook Health Sciences Centre - C4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Metapneumovirus,2019-03-25,2019-04-04,Inactive,-79.3792695,43.7235801
1231,Mackenzie Health - RCC - 3 East & 3 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Influenza A,2019-03-24,2019-04-08,Inactive,-79.5260221,43.7536378
1232,North York General Hospital - Seniors' Health Centre -1st Fl,2 Buchan Crt,LTCH,Enteric,Norovirus-like,2019-03-24,2019-04-03,Inactive,-79.35998,43.772849
1233,The Wexford - 6th & 7th Fl,1860 Lawrence Ave E,LTCH,Enteric,Unable to identify,2019-03-24,2019-04-01,Inactive,-79.3024148,43.7438388
1234,Ukrainian Canadian Care Centre - 2nd Fl,60 Richview Rd,LTCH,Respiratory,Influenza A,2019-03-24,2019-04-12,Inactive,-79.5200627,43.6838785
1235,Scarborough Retirement Residence - 2nd Fl,148 Markham Rd,Retirement Home,Enteric,Unable to identify,2019-03-23,2019-03-29,Inactive,-79.2180677,43.7407432
1236,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A,2019-03-22,2019-03-29,Inactive,-79.40424676206896,43.789755968965515
1237,The O'Neill Centre - 2nd Fl,33 Christie St,LTCH,Respiratory,Influenza A,2019-03-22,2019-03-30,Inactive,-79.4186528,43.6647391
1238,Revera Kingsway Retirement Residence,4251 Dundas St W,Retirement Home,Respiratory,Influenza A,2019-03-21,2019-03-31,Inactive,-79.513986,43.6591255
1239,St. Michael's Hospital - 14CC,30 Bond St,Hospital-Acute Care,Other,CPE,2019-03-21,2019-04-02,Inactive,-79.3784327,43.6542289
1240,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Influenza A,2019-03-20,2019-03-31,Inactive,-79.203089,43.7462823
1241,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Respiratory syncytial virus,2019-03-20,2019-04-01,Inactive,-79.2034339,43.7794412
1242,Chester Village - Diamond Unit (Main Fl - Secure),3555 Danforth Ave,LTCH,Respiratory,Metapneumovirus,2019-03-19,2019-03-29,Inactive,-79.27409672758621,43.69413068275862
1243,The Wexford - 2nd Fl,1860 Lawrence Ave E,LTCH,Respiratory,Influenza A,2019-03-19,2019-03-30,Inactive,-79.3024148,43.7438388
1244,Baycrest Apotex Centre - A4RF,3560 Bathurst St,LTCH,Respiratory,Unable to identify,2019-03-18,2019-03-25,Inactive,-79.4361036,43.7292745
1245,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,Influenza A,2019-03-18,2019-03-30,Inactive,-79.3957197,43.6732425
1246,Scarborough Health Network - Birchmount Site - G4A,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Influenza A,2019-03-18,2019-03-26,Inactive,-79.309054,43.801891
1247,Chartwell Westbury Long Term Care Residence - 6th Fl,495 The West Mall,LTCH,Respiratory,Influenza A,2019-03-16,2019-03-26,Inactive,-79.567866,43.648303
1248,Amica at Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Unable to identify,2019-03-15,2019-03-25,Inactive,-79.38257754978882,43.76690666292305
1249,Michael Garron Hospital - H6,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,2019-03-15,2019-03-25,Inactive,-79.3236782,43.6896572
1250,Rayoak Place,1340 York Mills Rd,Retirement Home,Enteric,Norovirus-like,2019-03-15,2019-03-30,Inactive,-79.320071,43.76317
1251,Baycrest Apotex Centre - Unit 3EI,3560 Bathurst St,LTCH,Respiratory,Influenza A,2019-03-14,2019-03-22,Inactive,-79.4361036,43.7292745
1252,Chartwell Lansing Retirement Residence,10 Senlac Rd,Retirement Home,Respiratory,Metapneumovirus,2019-03-13,2019-03-27,Inactive,-79.4227967,43.7590704
1253,St. Hilda's Towers,2339 Dufferin St,Retirement Home,Enteric,Unable to identify,2019-03-13,2019-03-22,Inactive,-79.449681,43.69459
1254,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Influenza A,2019-03-12,2019-03-26,Inactive,-79.13997840570175,43.7988385
1255,Altamont Care Community,92 Island Rd,LTCH,Enteric,Unable to identify,2019-03-12,2019-03-22,Inactive,-79.13997840570175,43.7988385
1256,Chartwell White Eagle Long Term Care Residence,138 Dowling Ave,LTCH,Enteric,Norovirus-like,2019-03-12,2019-03-26,Inactive,-79.439009,43.637221
1257,Lakeside Long Term Care Centre,150 Dunn Ave,LTCH,Enteric,Norovirus-like,2019-03-12,2019-03-29,Inactive,-79.4326664,43.6356584
1258,Chester Village - Sapphire (2 East) & Amethyst(4 East) Units,3555 Danforth Ave,LTCH,Respiratory,Respiratory syncytial virus,2019-03-11,2019-03-21,Inactive,-79.27409672758621,43.69413068275862
1259,Fountain View Care Community - Building 2 - 2nd Fl,1800 O'Connor Dr,LTCH,Respiratory,Parainfluenza,2019-03-11,2019-03-27,Inactive,-79.30522822012195,43.7204409
1260,St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2019-03-11,2019-03-18,Inactive,-79.450101,43.639359
1261,The O'Neill Centre,33 Christie St,LTCH,Enteric,Norovirus-like,2019-03-11,2019-04-02,Inactive,-79.4186528,43.6647391
1262,Toronto Western Hospital - Unit 8B,399 Bathurst St,Hospital-Acute Care,Enteric,Norovirus-like,2019-03-11,2019-03-20,Inactive,-79.4059789,43.6537982
1263,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2019-03-11,2019-03-19,Inactive,-79.5098225,43.687805
1264,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Unable to identify,2019-03-08,2019-03-18,Inactive,-79.2469846,43.7077593
1265,St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2019-03-08,2019-03-16,Inactive,-79.450101,43.639359
1266,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Respiratory,Influenza A,2019-03-08,2019-03-21,Inactive,-79.3361316,43.8042581
1267,Bridgepoint Active Healthcare - 2 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Influenza A,2019-03-07,2019-03-15,Inactive,-79.3554469,43.6658608
1268,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza A,2019-03-07,2019-04-04,Inactive,-79.1894286,43.8029937
1269,Hawthorne Place Care Centre,2045 Finch Ave W,LTCH,Respiratory,Influenza A,2019-03-07,2019-03-27,Inactive,-79.5222631,43.7562487
1270,Kipling Acres - 2nd Fl North,2233 Kipling Ave,LTCH,Respiratory,Metapneumovirus,2019-03-07,2019-03-21,Inactive,-79.571631,43.725014
1271,Michael Garron Hospital - H6,825 Coxwell Ave,Hospital-Acute Care,Enteric,Unable to identify,2019-03-06,2019-03-11,Inactive,-79.3236782,43.6896572
1272,Scarborough Health Network - General Site - Tower 7,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Influenza A,2019-03-06,2019-03-14,Inactive,-79.246316,43.7566259
1273,Scarborough Health Network - General Site - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Influenza A,2019-03-04,2019-03-13,Inactive,-79.246316,43.7566259
1274,Mackenzie Health - 4 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Unable to identify,2019-03-03,2019-03-13,Inactive,-79.5260221,43.7536378
1275,Hillcrest Reactivation Care Centre - 2nd & 3rd Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,Influenza A,2019-03-02,2019-03-10,Inactive,-79.415943,43.678115
1276,Providence Healthcare - B4 West,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A,2019-03-02,2019-03-10,Inactive,-79.2861565,43.7135926
1277,Christie Gardens Apartments - 1st Fl,600 Melita Cres,Retirement Home,Respiratory,Influenza A,2019-03-01,2019-03-16,Inactive,-79.4229698,43.6725542
1278,Houses of Providence - 2nd Fl West,3276 St Clair Ave E,LTCH,Respiratory,Respiratory syncytial virus,2019-03-01,2019-03-11,Inactive,-79.2861565,43.7135926
1279,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2019-03-01,2019-03-11,Inactive,-79.3024148,43.7438388
1280,Carefree Lodge - Garden Level,306 Finch Ave E,LTCH,Respiratory,Influenza A,2019-02-28,2019-03-19,Inactive,-79.392388,43.7850419
1281,Chartwell Scarlett Heights Retirement Residence - 2nd Fl,4005 Eglinton Ave W,Retirement Home,Respiratory,Influenza A,2019-02-27,2019-03-11,Inactive,-79.5125369,43.6836338
1283,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Influenza A,2019-02-27,2019-03-09,Inactive,-79.2034339,43.7794412
1284,St Clair O'Connor Nursing Home,2701 St Clair Ave E,LTCH,Respiratory,Metapneumovirus,2019-02-26,2019-03-19,Inactive,-79.3117512,43.7055002
1285,Amica at Bayview,15 Barberry Pl,Retirement Home,Enteric,Unable to identify,2019-02-25,2019-03-08,Inactive,-79.3841852,43.7658146
1286,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2019-02-25,2019-03-10,Inactive,-79.3792695,43.7235801
1287,Amica on the Avenue,1066 Avenue Rd,Retirement Home,Respiratory,Unable to identify,2019-02-22,2019-03-02,Inactive,-79.410136,43.705781
1288,Baycrest Apotex Centre - 4RF,3560 Bathurst St,LTCH,Respiratory,Influenza A,2019-02-22,2019-03-03,Inactive,-79.4361036,43.7292745
1289,Sunnybrook Health Sciences Centre - D6,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,2019-02-22,2019-04-01,Inactive,-79.3792695,43.7235801
1290,Toronto Rehabilitation Institute - Bickle Centre - South 5,130 Dunn Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2019-02-22,2019-03-06,Inactive,-79.433068,43.634967
1291,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Influenza A,2019-02-21,2019-03-09,Inactive,-79.2469846,43.7077593
1292,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Metapneumovirus,2019-02-21,2019-03-09,Inactive,-79.40424676206896,43.789755968965515
1293,Cummer Lodge - Main Fl - Special Care Unit,205 Cummer Ave,LTCH,Respiratory,Influenza A,2019-02-20,2019-02-28,Inactive,-79.40816758965518,43.78889555517242
1294,Fountain View Care Community - 3A & 3B,1800 O'Connor Dr,LTCH,Respiratory,Respiratory syncytial virus,2019-02-19,2019-03-15,Inactive,-79.30522822012195,43.7204409
1295,Belmont House  - 4WW (Walker Wing),55 Belmont St,LTCH,Respiratory,Unable to identify,2019-02-17,2019-02-26,Inactive,-79.39170138466517,43.67449825
1296,Houses of Providence - 2nd Fl West,3276 St Clair Ave E,LTCH,Respiratory,Influenza A,2019-02-15,2019-02-24,Inactive,-79.2861565,43.7135926
1297,Rayoak Place Retirement Residence,1340 York Mills Rd,Retirement Home,Respiratory,Influenza A,2019-02-15,2019-02-23,Inactive,-79.320071,43.76317
1298,West Park Healthcare Centre - 3EB,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza A,2019-02-15,2019-02-25,Inactive,-79.5098225,43.687805
1299,Baycrest Apotex Centre - 6RF,3560 Bathurst St,LTCH,Respiratory,Influenza A,2019-02-14,2019-02-25,Inactive,-79.4361036,43.7292745
1300,Sunnybrook Health Sciences Centre - LFSE & LFSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2019-02-14,2019-02-24,Inactive,-79.3792695,43.7235801
1301,Cheltenham Care Community - Cedar Trail - 2nd Fl,5935 Bathurst St,LTCH,Respiratory,Influenza A,2019-02-13,2019-02-20,Inactive,-79.44484073636364,43.78182523636364
1302,Houses of Providence - 3rd Fl West,3276 St Clair Ave E,LTCH,Respiratory,Influenza A,2019-02-13,2019-02-25,Inactive,-79.2861565,43.7135926
1303,True Davidson Acres,200 Dawes Rd,LTCH,Respiratory,Respiratory syncytial virus,2019-02-12,2019-02-26,Inactive,-79.298175,43.69582
1304,Suomi Koti Nursing Home,795 Eglinton Ave E,LTCH,Respiratory,Influenza A,2019-02-11,2019-02-22,Inactive,-79.3669906,43.7129848
1305,Westside,1145 Albion Rd,LTCH,Respiratory,Respiratory syncytial virus,2019-02-10,2019-03-08,Inactive,-79.5667899,43.7373503
1306,Shepherd Lodge Nursing Home,3760 Sheppard Ave E,LTCH,Respiratory,Influenza A,2019-02-09,2019-02-22,Inactive,-79.294078,43.782836
1307,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Respiratory,Influenza A,2019-02-08,2019-03-01,Inactive,-79.616344,43.731729
1308,Humber Valley Terrace,95 Humber College Blvd,LTCH,Respiratory,Respiratory syncytial virus,2019-02-08,2019-02-25,Inactive,-79.5994248,43.7307129
1309,Holland Bloorview Kids Rehabilitation Hospital - 3W BERT,150 Kilgour Rd,Hospital-Chronic Care,Enteric,Unable to identify,2019-02-07,2019-02-18,Inactive,-79.37434881971065,43.7182666
1310,Bridgepoint Active Healthcare - 8 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Influenza A,2019-02-06,2019-02-14,Inactive,-79.3554469,43.6658608
1311,Fudger House - 3 West Unit,439 Sherbourne St,LTCH,Respiratory,Influenza A,2019-02-06,2019-02-15,Inactive,-79.373735,43.666208
