,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status
1368,Fieldstone Commons Care Community,1000 Ellesmere Rd,LTCH,Respiratory,Influenza A,2019-01-09,2019-01-29,Inactive
1369,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2019-01-09,2019-01-22,Inactive
1370,Toronto Rehab Institute - Bickle Centre - North 3 -,"130 Dunn Ave - South 3, 4 & 5",Hospital-Chronic Care,Respiratory,Influenza A,2019-01-09,2019-01-23,Inactive
1371,Westside - 4th Fl,1145 Albion Rd,LTCH,Respiratory,Influenza A,2019-01-09,2019-01-18,Inactive
1372,Hawthorne Place Care Centre - 2nd Fl South,2045 Finch Ave W,LTCH,Respiratory,Respiratory syncytial virus,2019-01-08,2019-01-17,Inactive
1373,St. Joseph's Health Centre - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2019-01-08,2019-01-16,Inactive
1374,Leaside Retirement Residence,10 William Morgan Dr,Retirement Home,Respiratory,Influenza A,2019-01-07,2019-01-18,Inactive
1375,Main Street Terrace,77 Main St,LTCH,Respiratory,Respiratory syncytial virus,2019-01-07,2019-01-31,Inactive
1376,Maynard Nursing Home - 2nd Fl,28 Halton St,LTCH,Respiratory,Influenza A,2019-01-07,2019-01-14,Inactive
1377,St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2019-01-07,2019-01-16,Inactive
1378,Tendercare Living Centre - 3rd Fl West,1020 McNicoll Ave,LTCH,Respiratory,Unable to identify,2019-01-07,2019-01-16,Inactive
1379,Scarborough Health Network - Birchmount Site - 4A,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Influenza A,2019-01-06,2019-01-16,Inactive
1380,Baycrest Apotex Centre - 2GS,3560 Bathurst St,LTCH,Respiratory,Influenza A,2019-01-05,2019-01-09,Inactive
1381,Carefree Lodge - Main Fl,306 Finch Ave E,LTCH,Respiratory,Influenza A,2019-01-04,2019-01-14,Inactive
1382,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Respiratory syncytial virus,2019-01-04,2019-01-22,Inactive
1383,Kipling Acres - 1st Floor South Building,2233 Kipling Ave,LTCH,Enteric,Norovirus-like,2019-01-04,2019-01-10,Inactive
1384,Westbury Long Term Care Residence - 5th & 6th Fl,495 The West Mall,LTCH,Enteric,Norovirus-like,2019-01-04,2019-01-10,Inactive
1385,Centre for Addiction and Mental Health - Queen Site - 4-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,2019-01-03,2019-01-12,Inactive
1386,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza A,2019-01-03,2019-01-30,Inactive
1387,Grenadier Retirement Residence - 2nd & 3rd Fl,2100 Bloor St W,Retirement Home,Enteric,Unable to identify,2019-01-03,2019-01-14,Inactive
1388,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Influenza A,2019-01-03,2019-01-25,Inactive
1389,West Park Long Term Care Centre - 3rd Fl Glenwyld/Raymore,82 Buttonwood Ave,LTCH,Respiratory,Influenza A,2019-01-03,2019-01-10,Inactive
1390,"Castleview Wychwood Towers - 2 West, 4th & 6th Fl",351 Christie St,LTCH,Respiratory,Influenza A,2019-01-02,2019-01-18,Inactive
1391,Lakeshore Lodge - 4th Fl,3197 Lakeshore Blvd,LTCH,Respiratory,Influenza A,2019-01-02,2019-01-08,Inactive
1392,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,2019-01-02,2019-01-16,Inactive
1393,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,2019-01-02,2019-01-16,Inactive
1394,Wesburn Manor,400 The West Mall,LTCH,Enteric,Norovirus-like,2019-01-02,2019-01-31,Inactive
1395,University Health Network - Bickle Centre - N5B-TCU,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-31,2021-01-15,Inactive
1396,Unity Health Toronto-St. Joseph's Health Centre - 4E,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-31,2021-01-16,Inactive
1397,Fairview Nursing Home - Schlegel Villages - 1st Fl,14 Cross Street,LTCH,Respiratory,Coronavirus,2020-12-31,2021-02-01,Inactive
1398,Kennedy Lodge Nursing Home - Main North & South,1400 Kennedy Road,LTCH,Respiratory,Coronavirus,2020-12-31,2021-02-23,Inactive
1399,Unity Health Toronto - St. Michael's Hospital - OR,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-30,2021-01-11,Inactive
1400,Sts. Peter and Paul Residence - 6th Fl,221 Milner Ave,Retirement Home,Respiratory,Coronavirus,2020-12-30,2021-01-14,Inactive
1401,Copernicus Lodge - Dining Area,66 Roncesvalles Ave,LTCH,Respiratory,Coronavirus,2020-12-30,2021-01-19,Inactive
1402,Extendicare Guildwood - West Wing,60 Guildwood Parkway,LTCH,Respiratory,Coronavirus,2020-12-30,2021-01-19,Inactive
1403,Chartwell Lansing Retirement Residence,10 Senlac Road,Retirement Home,Respiratory,Coronavirus,2020-12-30,2021-01-22,Inactive
1404,Harold & Grace Baker Centre,1 Northwestern Ave,LTCH,Respiratory,Coronavirus,2020-12-30,2021-02-13,Inactive
1405,University Health Network - Toronto General Hospital - 4MB,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-29,2021-01-12,Inactive
1406,Elm Grove Living Centre - 1st & 2nd Fl,35 Elm Grove Avenue,LTCH,Respiratory,Coronavirus,2020-12-29,2021-02-10,Inactive
1407,"Chartwell Grenadier Retirement Residence - 2nd, 3rd, 4th -",2100 Bloor Street - & 5th Fl Assisted Living,Retirement Home,Respiratory,Coronavirus,2020-12-29,2021-02-14,Inactive
1408,Bendale Acres,2920 Lawrence Avenue East,LTCH,Respiratory,Coronavirus,2020-12-29,2021-02-24,Inactive
1409,Southlake Regional Health Centre - RCC Church Site-3B,200 Church Street,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-27,2021-01-30,Inactive
1410,Hellenic Care for Seniors - 1st Fl,215 Tyrrel Avenue,LTCH,Respiratory,Coronavirus,2020-12-27,2021-02-14,Inactive
1411,Chartwell Gibson Long Term Care Residence,1925 Steeles Avenue East,LTCH,Respiratory,Coronavirus,2020-12-27,2021-02-21,Inactive
1412,Ehatare Retirement Home,40 Old Kingston Road,Retirement Home,Respiratory,Coronavirus,2020-12-26,2021-01-22,Inactive
1413,"Cedarbrook Lodge Retirement Residence - 2nd, 4th & 6th Fl",520 Markham Road,Retirement Home,Respiratory,Coronavirus,2020-12-26,2021-02-06,Inactive
1414,Kensington Gardens North Building - 3 East,25 Brunswick Avenue,LTCH,Respiratory,Coronavirus,2020-12-25,2021-01-13,Inactive
1415,Extendicare Bayview,550 Cummer Avenue,LTCH,Respiratory,Coronavirus,2020-12-25,2021-02-02,Inactive
1416,Fountain View Care Community,1800 O'Connor Drive,LTCH,Respiratory,Coronavirus,2020-12-25,2021-02-11,Inactive
1417,Lakeside Long Term Care Centre - 1st Fl,150 Dunn Avenue,LTCH,Respiratory,Coronavirus,2020-12-24,2021-01-15,Inactive
1418,Vermont Square - 3rd Fl,914 Bathurst Street,LTCH,Respiratory,Coronavirus,2020-12-24,2021-01-18,Inactive
1419,Scarborough Health Network - General Hospital - T9,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-24,2021-01-19,Inactive
1420,Scarborough Health Network - Birchmount Hospital - G4C,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-24,2021-02-08,Inactive
1421,Sunnybrook Health Sciences Centre - Bayview Campus - C4,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-23,2021-01-20,Inactive
1422,West Park Healthcare Centre - 3EA,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-23,2021-01-22,Inactive
1423,Maynard Nursing Home,28 Halton Street,LTCH,Respiratory,Coronavirus,2020-12-23,2021-03-12,Inactive
1424,William Osler Health System - 8th Fl,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-22,2021-01-05,Inactive
1425,West Park Long Term Care - Weston-Mulholland,82 Buttonwood Ave,LTCH,Respiratory,Coronavirus,2020-12-22,2021-01-20,Inactive
1426,"Village of Humber Heights - 6 units - 1st, 2nd & 3rd Fl",2245 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2020-12-22,2021-02-22,Inactive
1427,Extendicare Guildwood - West,60 Guildwood Pky,LTCH,Respiratory,Unable to identify,2020-12-22,2021-01-04,Inactive
1428,Scarborough Health Network-Birchmount - G4A,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-21,2021-01-05,Inactive
1429,Baycrest Hospital - 5E,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-21,2021-01-07,Inactive
1430,"One Kenton Place - 1st, 2nd, 3rd Fl",1-3 Kenton Road,LTCH,Respiratory,Coronavirus,2020-12-21,2021-01-16,Inactive
1431,Queens Estate Retirement Residence,265 Queens Dr,Retirement Home,Respiratory,Coronavirus,2020-12-21,2021-01-21,Inactive
1432,University Health Network - Bickle Centre - 4South,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-21,2021-01-26,Inactive
1433,Sunnybrook Health Sciences Centre - Veterans Centre - LDMH,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2020-12-20,2021-01-16,Inactive
1434,Terraces of Baycrest- Retirement Home,55 Ameer Avenue,Retirement Home,Respiratory,Coronavirus,2020-12-20,2021-02-16,Inactive
1435,North York General Hospital - Seniors Health Centre - 1st,"2 Buchan Court - 2nd, 3rd & 4th Fl",LTCH,Respiratory,Coronavirus,2020-12-18,2021-02-01,Inactive
1436,Baycrest Apotex Centre - Jewish Home for the Aged,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2020-12-18,2021-03-23,Inactive
1437,University Health Network - Toronto General Hospital,200 Elizabeth Street - Cath Lab,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-17,2020-12-29,Inactive
1438,Toronto East Health Network-Michael Garron Hospital -,825 Coxwell Avenue - CIU-A,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-17,2020-12-30,Inactive
1439,Trillium Health Partners - RCC Church Site - 1C,200 Church Street,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-17,2021-01-07,Inactive
1440,Sunnybrook Health Sciences Centre - St. John's Rehab -,285 Cummer Ave - A2,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-17,2021-01-27,Inactive
1441,Leaside Retirement Living - Building 10 4th Fl,10-14 William Morgan Drive,Retirement Home,Respiratory,Coronavirus,2020-12-17,2021-02-22,Inactive
1442,Shepherd Terrace Retirement Home - Kitchen,3758 Sheppard Ave E,LTCH,Respiratory,Coronavirus,2020-12-16,2020-12-17,Inactive
1443,Retirement Suites By the Lake,2121 Kingston Road,Retirement Home,Respiratory,Coronavirus,2020-12-16,2021-01-04,Inactive
1444,Scarborough Health Network-Birchmount - 4D Medicine,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-15,2020-12-28,Inactive
1445,Seven Oaks - 3rd & 5th Fl,9 Neilson Rd,LTCH,Respiratory,Coronavirus,2020-12-15,2021-01-04,Inactive
1446,"True Davidson Acres - 1st, 4th & 5th Fl",200 Dawes Rd,LTCH,Respiratory,Coronavirus,2020-12-15,2021-01-21,Inactive
1447,McNicoll Manor - 4th & 5th Fl,1020 McNicoll Avenue,LTCH,Respiratory,Coronavirus,2020-12-15,2021-02-04,Inactive
1448,Scarborough Health Network - Yee Hong Dialysis,60 Scottfield Drive,LTCH,Respiratory,Coronavirus,2020-12-14,2021-01-05,Inactive
1449,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-13,2020-12-26,Inactive
1450,"Ivan Franko Retirement Home - 2nd Fl, 2S, 2W",767 Royal York Rd,LTCH,Respiratory,Coronavirus,2020-12-13,2021-01-29,Inactive
1451,Donway Place Retirement Home,8 The Donway   E,Retirement Home,Respiratory,Coronavirus,2020-12-13,2021-02-05,Inactive
1452,Hellenic Home for the Aged,2411 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2020-12-13,2021-02-19,Inactive
1453,Unity Health Toronto - St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-10,2021-01-01,Inactive
1454,Amica Bayview Gardens - 10th Fl,19 Rean Dr,Retirement Home,Respiratory,Coronavirus,2020-12-09,2020-12-25,Inactive
1455,Copernicus Lodge,66 Roncesvalles Ave,LTCH,Respiratory,Coronavirus,2020-12-09,2021-02-26,Inactive
1456,Scarborough Health Network - General Hospital - T6,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-08,2020-12-17,Inactive
1457,Advent Valleyview Residence - 4 East,541 Finch Ave W,LTCH,Respiratory,Coronavirus,2020-12-08,2021-01-14,Inactive
1458,"Eatonville Care Centre - 2nd, 3rd & 5th Fl",420 The East Mall,LTCH,Respiratory,Coronavirus,2020-12-08,2021-02-19,Inactive
1459,L'Chaim Retirement Home,718 Sheppard Ave W,Retirement Home,Respiratory,Coronavirus,2020-12-07,2020-12-22,Inactive
1460,Revera Kingsway,4251 Dundas St W,Retirement Home,Respiratory,Coronavirus,2020-12-07,2021-01-07,Inactive
1461,Runnymede Healthcare Centre - 4th Fl,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-07,2021-01-21,Inactive
1462,Parkland on Eglinton,4650 Eglinton Ave W,Retirement Home,Respiratory,Coronavirus,2020-12-07,2021-03-01,Inactive
1463,Cummer Lodge - 2nd Fl,205 Cummer Ave,LTCH,Respiratory,Coronavirus,2020-12-06,2020-12-24,Inactive
1464,New Horizons Tower - Kitchen,1140 Bloor St W,Retirement Home,Respiratory,Coronavirus,2020-12-06,2020-12-24,Inactive
1465,Unity Health Toronto - St. Joseph's Health Centre - ED,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-05,2020-12-22,Inactive
1466,Scarborough Health Network - General Hospital - 4C,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-05,2020-12-26,Inactive
1467,Wesburn Manor - 2 North,400 The West Mall,LTCH,Respiratory,Coronavirus,2020-12-05,2020-12-29,Inactive
1468,Baycrest Hospital - 4W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-05,2021-01-03,Inactive
1469,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2020-12-05,2021-01-27,Inactive
1470,The Hospital For Sick Children - Clinical Core Lab,555 University Ave,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-04,2020-12-22,Inactive
1471,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Coronavirus,2020-12-04,2021-02-01,Inactive
1472,St George Care Community - 1st & 3rd Fl,225 St George St,LTCH,Respiratory,Coronavirus,2020-12-04,2021-02-07,Inactive
1473,White Eagle Nursing Home,138 Dowling Ave,LTCH,Respiratory,Coronavirus,2020-12-03,2021-01-21,Inactive
1474,Centre for Addiction & Mental Health - Queen Site - GPU B,1001 Queen St W,Hospital-Psychiatric,Respiratory,Coronavirus,2020-12-02,2020-12-16,Inactive
1475,Bridgepoint Active Healthcare - 4S,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2020-11-30,2020-12-13,Inactive
1476,William Osler Health System - 10th Level,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-30,2020-12-16,Inactive
1477,Mount Sinai Hospital - 12 South,600 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-30,2021-01-02,Inactive
1478,Sunnybrook Health Sciences Centre - F2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-28,2020-12-04,Inactive
1479,"Cedarvale Terrace - 2nd, 3rd, 5th & 6th Fl",429 Walmer Rd E,LTCH,Respiratory,Coronavirus,2020-11-28,2020-12-14,Inactive
1480,Unity Health Toronto - St. Joseph Health Care Centre - 3M,30  The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-28,2020-12-14,Inactive
1481,Scarborough Health Network - Birchmount Hospital - G4C,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-27,2020-12-08,Inactive
1482,True Davidson Acres - 3rd floor,200 Dawes Rd,Retirement Home,Respiratory,Coronavirus,2020-11-27,2020-12-08,Inactive
1483,Scarborough Health Network - Centenary Hospital - YC9WE,2867 Ellesmere Rd,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-27,2020-12-20,Inactive
1484,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Coronavirus,2020-11-27,2021-01-18,Inactive
1485,"Kipling Acres - 2S, Claireville & Highfield Unit",2233 Kipling Ave,LTCH,Respiratory,Coronavirus,2020-11-27,2021-02-10,Inactive
1486,Dowling Residence,124 Dowling Ave,Retirement Home,Respiratory,Coronavirus,2020-11-26,2020-12-29,Inactive
1487,"The Briton House - 6th, 7th & 9th Fl",720 Mount Pleasant Rd,Retirement Home,Respiratory,Coronavirus,2020-11-26,2021-01-29,Inactive
1488,Unity Health Toronto - St. Michael's Hospital - 7CCV South,30 Bond St,Hospital-Acute Care,Enteric,Unable to identify,2020-11-26,2020-11-30,Inactive
1489,Scarborough Health Network - General Hospital - 4E,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-25,2020-12-08,Inactive
1490,Amica Bayview Village - 2nd Fl,15 Barberry Place,Retirement Home,Respiratory,Coronavirus,2020-11-25,2020-12-11,Inactive
1491,Unity Health Toronto - St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-25,2020-12-29,Inactive
1492,Centre for Addiction & Mental Health - Queen Site - MAUI,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2020-11-24,2020-12-08,Inactive
1493,Scarborough Health Network - General Hospital - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-24,2020-12-19,Inactive
1494,Amica Balmoral Club Retirement Home,155 Balmoral Ave,Retirement Home,Respiratory,Coronavirus,2020-11-23,2020-11-26,Inactive
1495,McCall Centre for Continuing Care - West Wing Interim Unit,140 Sherway Dr,LTCH,Respiratory,Coronavirus,2020-11-23,2020-12-17,Inactive
1496,"McCall Centre for Continuing Care - 2nd, 3rd & 4th Fl",140 Sherway Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2020-11-23,2020-12-24,Inactive
1497,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2020-11-23,2021-02-10,Inactive
1498,Castleview Wychwood Towers - 2nd to 7th Fl,351 Christie St,LTCH,Respiratory,Coronavirus,2020-11-23,2021-02-17,Inactive
1499,Scarborough Health Network - General Hospital - 3C,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-20,2020-12-04,Inactive
1500,Terraces of Baycrest Retirement Residence,55 Ameer Ave,Retirement Home,Respiratory,Coronavirus,2020-11-20,2020-12-17,Inactive
1501,Village Of Humber Height Retirement Home - Williamsburg,2245 Lawrence Ave W - & Becker's Unit,LTCH,Respiratory,Coronavirus,2020-11-20,2021-01-04,Inactive
1502,Chartwell Trilogy,340 McCowan Rd E,LTCH,Respiratory,Coronavirus,2020-11-20,2021-02-16,Inactive
1503,Unity Health Toronto - St. Michael's Hospital - TNICU,30 Bond St,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-19,2020-11-27,Inactive
1504,Baycrest Apotex Centre - Jewish Home for the Aged - A2GS,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2020-11-19,2020-12-02,Inactive
1505,One Kenton Place - 2nd & 3rd Fl,1 Kenton Dr,LTCH,Respiratory,Coronavirus,2020-11-19,2021-01-16,Inactive
1506,Midland Gardens Care Community - 2nd Fl,130 Midland Ave,LTCH,Respiratory,Coronavirus,2020-11-19,2021-02-26,Inactive
1507,Baycrest Apotex Centre - Jewish Home for the Aged - A7EI,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2020-11-17,2020-12-04,Inactive
1508,Arul Oli Senior Centre,8 Snowy Owl Way,Retirement Home,Respiratory,Coronavirus,2020-11-16,2020-12-10,Inactive
1509,Leaside Retirement Residence - Building 10,10 William Morgan Dr,Retirement Home,Respiratory,Coronavirus,2020-11-14,2020-12-11,Inactive
1510,Humber River Regional Hospital - 8 West,1235 Wilson Ave,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-13,2020-11-25,Inactive
1511,Queens Estate Retirement Residence - 4th Fl,265 Queens Dr,Retirement Home,Respiratory,Coronavirus,2020-11-13,2020-11-25,Inactive
1512,Harold and Grace Baker Centre,1 Northwestern Ave,Retirement Home,Respiratory,Coronavirus,2020-11-13,2020-12-14,Inactive
1513,Centre for Addiction & Mental Health - Queen Site - Unit 2-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Coronavirus,2020-11-12,2020-11-26,Inactive
1514,True Davidson Acres - 4th Fl,200 Dawes Rd E,LTCH,Respiratory,Coronavirus,2020-11-12,2020-12-28,Inactive
1515,Westside,1145 Albion Rd,LTCH,Respiratory,Coronavirus,2020-11-12,2021-02-06,Inactive
1516,Runnymede Healthcare Centre - 3E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Coronavirus,2020-11-11,2020-11-27,Inactive
1517,Scarborough Health Network - General Hospital - T9,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-10,2020-11-25,Inactive
1518,Baycrest Hospital - 6E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Coronavirus,2020-11-09,2020-11-29,Inactive
1519,Suomi Koti Nursing Home,795 Eglinton Ave E,LTCH,Respiratory,Coronavirus,2020-11-09,2020-12-24,Inactive
1520,Downsview Long Term Care Centre - 1st Fl North & -,3595 Keele St - East Unit,LTCH,Respiratory,Coronavirus,2020-11-07,2020-11-28,Inactive
1521,Humber River Regional Hospital - 12 East,1235 Wilson Ave,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-06,2020-11-09,Inactive
1522,Scarborough Health Network - General Hospital - 4C,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-06,2020-12-02,Inactive
1523,Centre for Addiction & Mental Health - College Site -,250 College St - GPU-A,Hospital-Psychiatric,Respiratory,Coronavirus,2020-11-05,2020-11-20,Inactive
1524,Providence Healthcare - D3 Palliative Unit,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,Coronavirus,2020-11-05,2020-12-02,Inactive
1525,The Teddington,4 Teddington Ave,Retirement Home,Respiratory,Coronavirus,2020-11-04,2020-11-18,Inactive
1526,Unity Health Toronto - St. Michael's Hospital - 7 CCV North,30 Bond St,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-04,2020-11-16,Inactive
1527,St. George Care Community,225 St.George St,LTCH,Respiratory,Coronavirus,2020-11-04,2020-11-24,Inactive
1528,Harmony Hills Care Community,1800 O'Connor Dr,LTCH,Respiratory,Coronavirus,2020-11-04,2020-12-30,Inactive
1529,Forest Hill Place,645 Castlefield Ave,Retirement Home,Respiratory,Coronavirus,2020-11-04,2021-01-14,Inactive
1530,West Park Healthcare Centre - 3EA,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2020-11-03,2020-11-17,Inactive
1531,Weston Terrace Care Community - 3A/1A,2005 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2020-11-03,2020-12-03,Inactive
1532,"Village of Humber Heights - 1st Fl Wedworth, Brule -",2245 Lawrence Ave W - Weston & Islington,LTCH,Respiratory,Coronavirus,2020-11-03,2020-12-21,Inactive
1533,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Respiratory,Coronavirus,2020-11-03,2021-02-17,Inactive
1534,The O'Neill Centre - 4th & 5th Fl,33 Christie St,LTCH,Enteric,Unable to identify,2020-11-03,2020-11-11,Inactive
1535,Extendicare Guildwood - East,60 Guildwood Pky,LTCH,Respiratory,Coronavirus,2020-11-02,2020-11-23,Inactive
1536,Bendale Acres - 2 East,2920 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2020-11-02,2020-12-15,Inactive
1537,Ina Grafton Gage Home - 2nd Fl,40 Bell Estates Rd,LTCH,Respiratory,Coronavirus,2020-11-01,2020-11-16,Inactive
1538,William Osler Health System - 8 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Coronavirus,2020-11-01,2020-11-26,Inactive
1539,Chartwell Scarlett Heights Retirement Home,4005 Eglinton Ave W,Retirement Home,Respiratory,Coronavirus,2020-11-01,2020-12-26,Inactive
1540,Mount Sinai Hospital - 9 South,600 University Ave,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-30,2020-11-14,Inactive
1541,"The Dunfield Retirement Residence - 5th, 7th & 18th Fl",77 Dunfield Ave,Retirement Home,Respiratory,Coronavirus,2020-10-30,2020-11-15,Inactive
1542,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2020-10-30,2020-12-24,Inactive
1543,North Park Nursing Home - 2nd Fl,475 Rustic Rd,LTCH,Respiratory,Coronavirus,2020-10-29,2020-12-10,Inactive
1544,Scarborough Health Network - Birchmount Hospital -,3030 Birchmount Rd - 4A Medicine,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-27,2020-11-12,Inactive
1545,Scarborough Health Network - General Hospital - T7,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-27,2020-11-27,Inactive
1546,Kensington Gardens - 3 West,25 Bruinswick Ave,LTCH,Respiratory,Coronavirus,2020-10-26,2020-11-15,Inactive
1547,West Park Healthcare Centre - 3WE,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2020-10-26,2020-11-19,Inactive
1548,"Briton House Retirement Centre - 3rd, 4th, 7th & 9th Fl",720 Mount Pleasant Rd,Retirement Home,Respiratory,Coronavirus,2020-10-25,2020-11-07,Inactive
1549,North York General Hospital - OR,4001 Leslie St,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-25,2020-11-09,Inactive
1550,Castleview Wychwood Towers,351 Christie St,LTCH,Respiratory,Coronavirus,2020-10-25,2020-11-10,Inactive
1551,Extendicare Craiglee,102 Craiglee Dr,LTCH,Respiratory,Coronavirus,2020-10-25,2021-01-22,Inactive
1552,Scarborough Health Network - General Hospital - T6,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-23,2020-11-06,Inactive
1553,Centre for Addiction & Mental Health - Queen Site - Unit 2-3,1001 Queen St W,Hospital-Psychiatric,Respiratory,Coronavirus,2020-10-23,2020-11-09,Inactive
1554,True Davidson Acres - 3rd Fl,200 Dawes Rd,LTCH,Respiratory,Coronavirus,2020-10-23,2020-11-14,Inactive
1555,Sage Care,147 Elder St,Retirement Home,Respiratory,Coronavirus,2020-10-23,2020-12-07,Inactive
1556,Shepherd Lodge Nursing Home - 4th & 6th Fl,3760 Sheppard Ave E,LTCH,Respiratory,Coronavirus,2020-10-23,2021-02-26,Inactive
1557,Sunnybrook Health Sciences Centre - C5,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-22,2020-11-08,Inactive
1558,Tendercare Living Centre - Kitchen/Dietary,1020 McNicoll Ave,LTCH,Respiratory,Coronavirus,2020-10-22,2020-11-16,Inactive
