,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude,Outbreak Year,Outbreak Month,Outbreak Season
272,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,2017-12-21,2018-01-13,Inactive,-79.2469846,43.7077593,2017,December,Winter
273,Baycrest Hospital - 7 East,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A,2017-12-20,2018-01-03,Inactive,-79.4361036,43.7292745,2017,December,Winter
274,Sunnybrook Health Sciences Centre - CrCU,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,2017-12-20,2018-05-01,Inactive,-79.3792695,43.7235801,2017,December,Winter
275,Belmont House - 4WW,55 Belmont St,LTCH,Enteric,Norovirus-like,2017-12-20,2018-01-03,Inactive,-79.39170138466517,43.67449825,2017,December,Winter
276,Living Life on the Avenue Retirement Residence,1066 Avenue Rd,Retirement Home,Respiratory,Influenza B,2017-12-19,2018-01-02,Inactive,-79.410136,43.705781,2017,December,Winter
277,Better Living at Thompson House,1 Overland Dr,LTCH,Enteric,Norovirus-like,2017-12-19,2018-01-29,Inactive,-79.347342,43.732464,2017,December,Winter
278,Bridgepoint Active Healthcare - 7 North & 6 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Unable to identify,2017-12-18,2017-12-28,Inactive,-79.3554469,43.6658608,2017,December,Winter
279,Valleyview Residence - 3 East,541 Finch Ave W,LTCH,Respiratory,Influenza A,2017-12-18,2017-12-27,Inactive,-79.4482104,43.7727096,2017,December,Winter
280,New Horizons Tower,1140 Bloor St W,Retirement Home,Enteric,Norovirus-like,2017-12-18,2018-01-09,Inactive,-79.43604266376147,43.659954600000006,2017,December,Winter
281,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza A,2017-12-18,2017-12-31,Inactive,-79.1894286,43.8029937,2017,December,Winter
282,Ukrainian Canadian Care Centre,60 Richview Rd,LTCH,Respiratory,Respiratory syncytial virus,2017-12-18,2018-01-05,Inactive,-79.5200627,43.6838785,2017,December,Winter
283,Elm Grove Living Centre - 1st & 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Unable to identify,2017-12-15,2017-12-27,Inactive,-79.43074080619229,43.6403384,2017,December,Winter
284,William Osler Health System - 7 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A,2017-12-15,2017-12-29,Inactive,-79.5991896,43.7306053,2017,December,Winter
285,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Influenza B,2017-12-14,2017-12-23,Inactive,-79.3792695,43.7235801,2017,December,Winter
286,St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2017-12-14,2017-12-23,Inactive,-79.450101,43.639359,2017,December,Winter
287,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Unable to identify,2017-12-14,2017-12-22,Inactive,-79.2034339,43.7794412,2017,December,Winter
288,Fieldstone Commons Care Community - 4A & 4B,1000 Ellesmere Rd,LTCH,Enteric,Norovirus-like,2017-12-13,2018-01-11,Inactive,-79.277814,43.766995,2017,December,Winter
289,St. Hilda's Towers - RIU,2339 Dufferin St,Retirement Home,Enteric,Unable to identify,2017-12-13,2017-12-19,Inactive,-79.449681,43.69459,2017,December,Winter
290,Sunnybrook Health Sciences Centre - LSSE & LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-12-12,2017-12-27,Inactive,-79.3792695,43.7235801,2017,December,Winter
291,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-12-11,2018-01-05,Inactive,-79.3904512,43.7932278,2017,December,Winter
292,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Influenza A,2017-12-11,2018-01-02,Inactive,-79.203089,43.7462823,2017,December,Winter
293,The Hospital for Sick Children - 7D,555 University Ave,Hospital-Acute Care,Enteric,Norovirus-like,2017-12-11,2017-12-18,Inactive,-79.387438,43.657372,2017,December,Winter
294,Centre for Addiction and Mental Health - Unit 5,250 College St,Hospital-Psychiatric,Enteric,Unable to identify,2017-12-10,2017-12-18,Inactive,-79.3993314,43.6598547,2017,December,Winter
295,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Unable to identify,2017-12-08,2017-12-18,Inactive,-79.4561852,43.7709198,2017,December,Winter
296,North York General Hospital - Seniors' Health Centre- 3rd Fl,2 Buchan Crt,LTCH,Respiratory,Unable to identify,2017-12-08,2017-12-26,Inactive,-79.35998,43.772849,2017,December,Winter
297,Sunnybrook Health Sciences Centre - D4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Coronavirus,2017-12-08,2017-12-21,Inactive,-79.3792695,43.7235801,2017,December,Winter
298,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza,2017-12-07,2017-12-14,Inactive,-79.3792695,43.7235801,2017,December,Winter
299,Bridgepoint Active Healthcare - 9 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2017-12-07,2017-12-14,Inactive,-79.3554469,43.6658608,2017,December,Winter
300,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Respiratory,Influenza B,2017-12-06,2017-12-14,Inactive,-79.2180677,43.7407432,2017,December,Winter
301,The Wexford Residence - 5th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,2017-12-06,2017-12-15,Inactive,-79.3024148,43.7438388,2017,December,Winter
302,Baycrest Apotex Centre - 7RF,3560 Bathurst St,LTCH,Respiratory,Parainfluenza,2017-12-05,2017-12-14,Inactive,-79.4361036,43.7292745,2017,December,Winter
303,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-12-04,2017-12-20,Inactive,-79.2468577,43.7550969,2017,December,Winter
304,Sunnybrook Health Sciences Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-12-03,2017-12-17,Inactive,-79.3792695,43.7235801,2017,December,Winter
305,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Enteric,Norovirus-like,2017-12-01,2017-12-15,Inactive,-79.3726983,43.8083147,2017,December,Winter
306,St. Michael's Hospital - 4 Donnelly - Palliative Care,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A,2017-12-01,2017-12-09,Inactive,-79.3784327,43.6542289,2017,December,Winter
307,St. Hilda's Towers - Vaughan Tower - Medical Unit,2239 Dufferin St,Retirement Home,Enteric,Norovirus-like,2017-11-30,2017-12-08,Inactive,-79.4650817,43.7611966,2017,November,Fall
308,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-11-30,2017-12-11,Inactive,-79.3792695,43.7235801,2017,November,Fall
309,Chartwell Gibson Long Term Care - Units 2 & 3,1925 Steeles Ave E,LTCH,Respiratory,Influenza A,2017-11-29,2017-12-15,Inactive,-79.3758609,43.807618,2017,November,Fall
310,Harold and Grace Retirement Residence - 4th & 6th Fl,1 Northwestern Ave,Retirement Home,Enteric,Unable to identify,2017-11-24,2017-12-04,Inactive,-79.4688897,43.6987718,2017,November,Fall
311,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Unable to identify,2017-11-23,2017-12-02,Inactive,-79.5098225,43.687805,2017,November,Fall
312,Harold and Grace Baker Centre,1 Northwestern Ave,LTCH,Enteric,Norovirus-like,2017-11-23,2017-12-04,Inactive,-79.4688897,43.6987718,2017,November,Fall
313,Mon Sheong Scarborough Long Term Care - Ground Fl,2030 McNicoll Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-11-21,2017-11-29,Inactive,-79.2994857,43.8128599,2017,November,Fall
314,Bendale Acres - 2 East Unit & 5th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A,2017-11-20,2017-12-05,Inactive,-79.2516534,43.7543919,2017,November,Fall
315,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Respiratory,Influenza B,2017-11-20,2017-12-05,Inactive,-79.2180677,43.7407432,2017,November,Fall
316,Sunnybrook Health Sciences Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-11-15,2017-11-24,Inactive,-79.3792695,43.7235801,2017,November,Fall
317,Vermont Square - 4th Fl,914 Bathurst St,LTCH,Respiratory,Respiratory syncytial virus,2017-11-14,2017-11-30,Inactive,-79.4126122,43.6682389,2017,November,Fall
318,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Enteric,Unable to identify,2017-11-03,2017-11-20,Inactive,-79.2468577,43.7550969,2017,November,Fall
319,The Hospital for Sick Children - 6A,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,2017-11-03,2017-11-11,Inactive,-79.387438,43.657372,2017,November,Fall
320,Extendicare Craiglee - 1 West,102 Craiglee Dr,LTCH,Respiratory,Influenza A,2017-11-02,2017-12-03,Inactive,-79.2528019,43.7067792,2017,November,Fall
321,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Enteric,Norovirus-like,2017-11-01,2017-11-13,Inactive,-79.3361316,43.8042581,2017,November,Fall
322,Suomi Koti Nursing Home,795 Eglinton Ave E,LTCH,Respiratory,Parainfluenza,2017-11-01,2017-11-10,Inactive,-79.3669906,43.7129848,2017,November,Fall
323,"Rockcliffe Care Community - 1st, 2nd & 3rd Fl",3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2017-10-31,2017-11-23,Inactive,-79.2468577,43.7550969,2017,October,Fall
324,147 Elder Street,147 Elder St,Retirement Home,Respiratory,Unable to identify,2017-10-31,2017-11-16,Inactive,-79.454186,43.7626531,2017,October,Fall
325,"True Davidson Acres - 1 West, 2 East & 2 West",200 Dawes Rd,LTCH,Enteric,Norovirus-like,2017-10-31,2017-11-08,Inactive,-79.298175,43.69582,2017,October,Fall
326,Kensington Gardens - North Building - 1 East,45 Brunswick Ave,LTCH,Respiratory,Unable to identify,2017-10-27,2017-11-05,Inactive,-79.404305,43.658784,2017,October,Fall
327,Vermont Square - 3rd Fl,914 Bathurst St,LTCH,Respiratory,Unable to identify,2017-10-17,2017-11-06,Inactive,-79.4126122,43.6682389,2017,October,Fall
328,McCall Centre for Continuing Care - 3rd Fl Rehab,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Unable to identify,2017-10-17,2017-10-26,Inactive,-79.562235,43.610033,2017,October,Fall
329,Sunnybrook Health Sciences Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-10-16,2017-10-29,Inactive,-79.3792695,43.7235801,2017,October,Fall
330,Fudger House - 1 West Unit & 3 West Unit,439 Sherbourne St,LTCH,Respiratory,Unable to identify,2017-10-11,2017-10-26,Inactive,-79.373735,43.666208,2017,October,Fall
331,Centre for Addiction and Mental Health - Queen Site - GAU-B,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,2017-10-09,2017-10-26,Inactive,-79.4186199,43.6438339,2017,October,Fall
332,Seven Oaks - 4th Fl - LTCH,9 Neilson Rd,LTCH,Respiratory,Unable to identify,2017-09-27,2017-10-04,Inactive,-79.2034339,43.7794412,2017,September,Fall
333,Sunnybrook Health Sciences Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza,2017-09-26,2017-10-05,Inactive,-79.3792695,43.7235801,2017,September,Fall
334,Better Living At Thompson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,Rhinovirus,2017-09-15,2017-09-26,Inactive,-79.347342,43.732464,2017,September,Fall
335,Bendale Acres - 1st Fl West & 5th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2017-09-14,2017-09-27,Inactive,-79.2516534,43.7543919,2017,September,Fall
336,Seven Oaks - 5th Fl,9 Neilson Rd,LTCH,Respiratory,Rhinovirus,2017-09-13,2017-09-25,Inactive,-79.2034339,43.7794412,2017,September,Fall
337,Extendacare Rouge Valley,551 Conlins Rd,LTCH,Enteric,Norovirus-like,2017-09-13,2017-09-20,Inactive,-79.1894286,43.8029937,2017,September,Fall
338,The Wexford - 5th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2017-09-12,2017-09-26,Inactive,-79.3024148,43.7438388,2017,September,Fall
339,Cummer Lodge - 3rd Fl North,205 Cummer Ave,LTCH,Respiratory,Rhinovirus,2017-09-12,2017-10-10,Inactive,-79.40816758965518,43.78889555517242,2017,September,Fall
340,Seniors' Health Centre - 1st Fl,2 Buchan Crt,LTCH,Respiratory,Rhinovirus,2017-09-11,2017-09-19,Inactive,-79.35998,43.772849,2017,September,Fall
341,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Rhinovirus,2017-09-08,2017-09-20,Inactive,-79.3489587,43.7361257,2017,September,Fall
342,Providence Healthcare - Houses of Providence - HOP 3 & 4,3276 St Clair Ave E,LTCH,Enteric,Norovirus-like,2017-09-07,2017-09-19,Inactive,-79.2861565,43.7135926,2017,September,Fall
343,The Scarborough and Rouge Hospital - General Site - Tower 7,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Rhinovirus,2017-08-30,2017-09-07,Inactive,-79.246316,43.7566259,2017,August,Summer
344,The O'Neill Centre - 4th Fl,33 Christie St,LTCH,Respiratory,Rhinovirus,2017-08-30,2017-09-18,Inactive,-79.4186528,43.6647391,2017,August,Summer
345,West Park Long Term Care Centre - Humber & York Unit,82 Buttonwood Ave,LTCH,Respiratory,Rhinovirus,2017-08-28,2017-09-14,Inactive,-79.5098225,43.687805,2017,August,Summer
346,The Heritage Nursing Home - 2nd & 4th Fl,1195 Queen St E,LTCH,Respiratory,Rhinovirus,2017-08-28,2017-09-12,Inactive,-79.3316241,43.66280613333333,2017,August,Summer
347,Humber Valley Terrace - 1st Fl,95 Humber College Blvd,LTCH,Respiratory,Unable to identify,2017-08-21,2017-08-31,Inactive,-79.5994248,43.7307129,2017,August,Summer
348,Yee Hong Centre for Geriatric Care -Finch Site-3rd & 6th Fl,60 Scottfield Dr,LTCH,Respiratory,Parainfluenza,2017-08-20,2017-09-03,Inactive,-79.25453972658863,43.8086905,2017,August,Summer
349,Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Rhinovirus,2017-08-18,2017-09-08,Inactive,-79.44484073636364,43.78182523636364,2017,August,Summer
350,Seniors' Health Centre - 4th Fl,2 Buchan Crt,LTCH,Respiratory,Rhinovirus,2017-08-17,2017-08-31,Inactive,-79.35998,43.772849,2017,August,Summer
351,The Hospital for Sick Children - 5B,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,2017-08-17,2017-08-25,Inactive,-79.387438,43.657372,2017,August,Summer
352,Castleview Wychwood Towers - 4th Fl,351 Christie St,LTCH,Respiratory,Rhinovirus,2017-08-14,2017-09-05,Inactive,-79.42113793274277,43.673349,2017,August,Summer
353,Midland Gardens Community Care,130 Midland Ave,LTCH,Respiratory,Rhinovirus,2017-08-13,2017-09-13,Inactive,-79.2469846,43.7077593,2017,August,Summer
354,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2017-08-11,2017-09-13,Inactive,-79.2468577,43.7550969,2017,August,Summer
355,Chartwell Gibson Long Term Care Residence,1925 Steeles Ave E,LTCH,Respiratory,Rhinovirus,2017-08-11,2017-08-24,Inactive,-79.3758609,43.807618,2017,August,Summer
356,"Forest Hill Place - 3rd, 4th, 8th Fl",645 Castlefield Ave,Retirement Home,Respiratory,Enterovirus/Rhinovirus,2017-08-09,2017-08-16,Inactive,-79.4247813,43.7065006,2017,August,Summer
357,Village of Humber Heights - Islington,2245 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,2017-08-09,2017-09-06,Inactive,-79.527245,43.6972121,2017,August,Summer
358,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-08-09,2017-08-18,Inactive,-79.3792695,43.7235801,2017,August,Summer
359,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Rhinovirus,2017-08-09,2017-08-26,Inactive,-79.13997840570175,43.7988385,2017,August,Summer
360,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2017-08-07,2017-08-18,Inactive,-79.210221,43.763575,2017,August,Summer
361,Mon Sheong Scarborough Long Term Care Home - 1st Fl,2030 McNicoll Ave,LTCH,Respiratory,Influenza A,2017-08-05,2017-08-26,Inactive,-79.2994857,43.8128599,2017,August,Summer
362,Yee Hong Centre for Geriatric Care - McNicoll Site,2311 McNicoll Ave,LTCH,Respiratory,Adenovirus,2017-08-04,2017-08-11,Inactive,-79.2899939,43.8144476,2017,August,Summer
363,Westside,1145 Albion Rd,LTCH,Respiratory,Rhinovirus,2017-08-04,2017-08-21,Inactive,-79.5667899,43.7373503,2017,August,Summer
364,Valleyview Residence - 4th Fl,541 Finch Ave W,LTCH,Respiratory,Parainfluenza,2017-08-01,2017-08-18,Inactive,-79.4482104,43.7727096,2017,August,Summer
365,Bridgepoint Active Healthcare - 6 South,14 St Matthews Rd,Hospital-Chronic Care,Enteric,Unable to identify,2017-08-01,2017-08-14,Inactive,-79.3537925,43.6660438,2017,August,Summer
366,Baycrest Apotex - 5 EI,3560 Bathurst St,LTCH,Respiratory,Rhinovirus,2017-08-01,2017-08-10,Inactive,-79.4361036,43.7292745,2017,August,Summer
367,Shepherd Lodge - 7th Fl,3760 Sheppard Ave E,LTCH,Respiratory,Rhinovirus,2017-07-31,2017-08-09,Inactive,-79.294078,43.782836,2017,July,Summer
368,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Enteric,Unable to identify,2017-07-25,2017-08-28,Inactive,-79.2468577,43.7550969,2017,July,Summer
369,Harold and Grace Baker Retirement Residence,1 Northwestern Ave,Retirement Home,Respiratory,Rhinovirus,2017-07-24,2017-08-06,Inactive,-79.4688897,43.6987718,2017,July,Summer
370,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Rhinovirus,2017-07-17,2017-08-10,Inactive,-79.40816758965518,43.78889555517242,2017,July,Summer
371,Canterbury Place Retirement Residence,1 Canterbury Pl,Retirement Home,Respiratory,Rhinovirus,2017-07-07,2017-07-21,Inactive,-79.4141725,43.7719895,2017,July,Summer
372,Chartwell Gibson Long Term Care Centre - Unit 3,1925 Steeles Ave E,LTCH,Enteric,Unable to identify,2017-07-06,2017-07-13,Inactive,-79.3758609,43.807618,2017,July,Summer
373,Mon Sheong Scarborough Long Term Care Centre - 3rd Fl,2030 McNicoll Ave,LTCH,Respiratory,Unable to identify,2017-07-05,2017-07-21,Inactive,-79.2994857,43.8128599,2017,July,Summer
374,Fudger House - 1 East Unit,439 Sherbourne St,LTCH,Respiratory,Rhinovirus,2017-07-04,2017-07-11,Inactive,-79.373735,43.666208,2017,July,Summer
375,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2017-06-26,2017-07-24,Inactive,-79.2468577,43.7550969,2017,June,Summer
376,Elm Grove Living Centre - 1st Fl,35 Elm Grove Ave,LTCH,Respiratory,Rhinovirus,2017-06-26,2017-07-05,Inactive,-79.43074080619229,43.6403384,2017,June,Summer
377,Centennial Park Place,25 Centennial Park Rd,Retirement Home,Enteric,Norovirus-like,2017-06-21,2017-06-28,Inactive,-79.5826865,43.6537573,2017,June,Summer
378,Rekai Centre at Sherbourne Place,345 Sherbourne St,LTCH,Respiratory,Rhinovirus,2017-06-20,2017-07-04,Inactive,-79.37243630597754,43.662702249999995,2017,June,Summer
379,Deerwood Creek Care Community - 2A,70 Humberline Dr,LTCH,Respiratory,Parainfluenza,2017-06-16,2017-06-29,Inactive,-79.616344,43.731729,2017,June,Summer
380,St. Michael's Hospital - 8CS,30 Bond St,Hospital-Acute Care,Enteric,Clostridium difficile,2017-06-14,2017-08-10,Inactive,-79.3784327,43.6542289,2017,June,Summer
381,The Heritage Nursing Home - 2nd Fl Unit,1195 Queen St E,LTCH,Respiratory,Rhinovirus,2017-06-05,2017-06-23,Inactive,-79.3316241,43.66280613333333,2017,June,Summer
382,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,2017-06-02,2017-06-12,Inactive,-79.210221,43.763575,2017,June,Summer
383,The Hospital for Sick Children - NICU,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,2017-06-01,2017-06-09,Inactive,-79.387438,43.657372,2017,June,Summer
384,Tendercare Living Centre - 2 East Unit & 2 West Unit,1020 McNicoll Ave,LTCH,Respiratory,Parainfluenza,2017-06-01,2017-07-04,Inactive,-79.3361316,43.8042581,2017,June,Summer
385,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2017-06-01,2017-06-12,Inactive,-79.2468577,43.7550969,2017,June,Summer
386,The Wexford Residence,1860 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2017-05-30,2017-06-14,Inactive,-79.3024148,43.7438388,2017,May,Spring
387,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Unable to identify,2017-05-29,2017-06-07,Inactive,-79.13997840570175,43.7988385,2017,May,Spring
388,Cedarvale Terrace - 4th & 6th Fl,429 Walmer Rd,LTCH,Respiratory,Rhinovirus,2017-05-29,2017-06-08,Inactive,-79.412483,43.685423,2017,May,Spring
389,Midland Gardens,130 Midland Ave,LTCH,Respiratory,Parainfluenza,2017-05-28,2017-06-16,Inactive,-79.2469846,43.7077593,2017,May,Spring
390,Sunnybrook Health Sciences Centre - LGSE & LGSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-05-28,2017-06-13,Inactive,-79.3792695,43.7235801,2017,May,Spring
391,The O'Neill Centre - 2nd Fl,33 Christie St,LTCH,Respiratory,Influenza A,2017-05-28,2017-06-06,Inactive,-79.4186528,43.6647391,2017,May,Spring
392,Sunnybrook Health Sciences Centre - D4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,2017-05-25,2017-06-03,Inactive,-79.3792695,43.7235801,2017,May,Spring
393,Copernicus Lodge - 6th Fl,66 Roncesvalles Ave,LTCH,Respiratory,Influenza B,2017-05-25,2017-06-03,Inactive,-79.447337,43.640435,2017,May,Spring
394,Gibson Long Term Care Centre - Unit 2,1925 Steeles Ave E,LTCH,Respiratory,Metapneumovirus,2017-05-24,2017-05-30,Inactive,-79.3758609,43.807618,2017,May,Spring
395,Cedarbrook Lodge,520 Markham Rd,Retirement Home,Enteric,Unable to identify,2017-05-23,2017-05-29,Inactive,-79.2241579,43.7554562,2017,May,Spring
396,Shepherd Lodge - 3rd Fl,3760 Sheppard Ave E,LTCH,Respiratory,Unable to identify,2017-05-23,2017-06-05,Inactive,-79.294078,43.782836,2017,May,Spring
397,Sunnybrook Health Sciences Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza,2017-05-16,2017-06-01,Inactive,-79.3792695,43.7235801,2017,May,Spring
398,"Bendale Acres - 1 West Unit, 2 East Unit & 3rd Fl Unit",2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2017-05-16,2017-05-29,Inactive,-79.2516534,43.7543919,2017,May,Spring
399,Sunnybrook Health Sciences Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2017-05-15,2017-05-31,Inactive,-79.3792695,43.7235801,2017,May,Spring
400,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza B,2017-05-10,2017-05-18,Inactive,-79.3489587,43.7361257,2017,May,Spring
401,Sunnybrook Health Sciences Centre - Ltch - K2w,2075 Bayview Ave,LTCH,Respiratory,Influenza B,2017-05-09,2017-05-17,Inactive,-79.3792695,43.7235801,2017,May,Spring
402,Kensington Gardens - North Building - 1 East & 1 West,45 Brunswick Ave,LTCH,Respiratory,Rhinovirus,2017-05-08,2017-05-31,Inactive,-79.404305,43.658784,2017,May,Spring
403,Gibson Long Term Care Centre,1925 Steeles Ave E,LTCH,Respiratory,Influenza B,2017-05-07,2017-05-24,Inactive,-79.3758609,43.807618,2017,May,Spring
404,Hellenic Home - Unit 3A,2411 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,2017-05-04,2017-05-11,Inactive,-79.2746356,43.7493249,2017,May,Spring
405,Cummer Lodge - 2 South,205 Cummer Ave,LTCH,Respiratory,Coronavirus,2017-05-04,2017-05-29,Inactive,-79.40816758965518,43.78889555517242,2017,May,Spring
406,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza B,2017-05-01,2017-06-05,Inactive,-79.3726983,43.8083147,2017,May,Spring
407,Kensington Gardens - North Building - 2 East,45 Brunswick Ave,LTCH,Respiratory,Rhinovirus,2017-04-27,2017-05-06,Inactive,-79.404305,43.658784,2017,April,Spring
408,Norwood Nursing Home - 1st Fl,122 Tyndall Ave,LTCH,Respiratory,Influenza B,2017-04-26,2017-05-05,Inactive,-79.42931564668473,43.63752855,2017,April,Spring
409,Castleview Wychwood Towers - 2nd & 3rd Fl,351 Christie St,LTCH,Respiratory,Parainfluenza,2017-04-20,2017-05-02,Inactive,-79.42113793274277,43.673349,2017,April,Spring
410,Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,Influenza A,2017-04-19,2017-04-27,Inactive,-79.393199,43.699527,2017,April,Spring
411,Chartwell Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,Parainfluenza,2017-04-19,2017-04-27,Inactive,-79.1980788,43.7451732,2017,April,Spring
412,Claremont Retirement Residence,305 Balliol St,Retirement Home,Respiratory,Metapneumovirus,2017-04-18,2017-05-01,Inactive,-79.386874,43.699176,2017,April,Spring
413,Deerwood Creek Care Community - 3A,70 Humberline Dr,LTCH,Respiratory,Influenza A,2017-04-15,2017-04-26,Inactive,-79.616344,43.731729,2017,April,Spring
414,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2017-04-12,2017-04-20,Inactive,-79.3792695,43.7235801,2017,April,Spring
415,Providence Healthcare - Unit D3,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A,2017-04-09,2017-04-16,Inactive,-79.2861565,43.7135926,2017,April,Spring
416,Cheltenham Care Community - 1st Fl,5935 Bathurst St,LTCH,Respiratory,Metapneumovirus,2017-04-07,2017-04-16,Inactive,-79.44484073636364,43.78182523636364,2017,April,Spring
417,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza A,2017-04-05,2017-04-20,Inactive,-79.3726983,43.8083147,2017,April,Spring
418,Chartwell Gibson Long Term Care - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,Respiratory syncytial virus,2017-04-04,2017-04-19,Inactive,-79.3758609,43.807618,2017,April,Spring
419,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Rhinovirus,2017-04-04,2017-04-07,Inactive,-79.5098225,43.687805,2017,April,Spring
420,Rayoak Place Retirement Residence,1340 York Mills Rd,Retirement Home,Respiratory,Parainfluenza,2017-04-04,2017-04-19,Inactive,-79.320071,43.76317,2017,April,Spring
421,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,"Rhinovirus, Coronavirus",2017-04-03,2017-04-26,Inactive,-79.3316241,43.66280613333333,2017,April,Spring
422,Bendale Acres,2920 Lawrence Ave E,LTCH,Respiratory,Influenza B,2017-04-03,2017-04-19,Inactive,-79.2516534,43.7543919,2017,April,Spring
