_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
203,Downsview Long Term Care Centre - 2nd Fl - 2 Centre,3595 Keele St,LTCH,Respiratory,COVID-19,,2023-10-10,2023-10-16,N
204,Hellenic Home - 3B,2411 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-10-10,2023-10-23,N
205,Rockcliffe Care Community - 1st Fl,3015 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2023-10-10,2023-10-18,N
206,"Seniors' Health Centre - 1st ,2nd & 3rd Fl",2 Buchan Crt,LTCH,Respiratory,COVID-19,,2023-10-10,2023-11-03,N
207,Unity Health Toronto - Houses of Providence - 3E - Cedar & Aspen,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-10-10,2023-10-25,N
208,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-10,2023-10-22,N
209,Unity Health Toronto - Providence - A3,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-09,2023-10-16,N
210,William Osler Health System - 9W,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-09,2023-10-16,N
211,Hellenic Home for the Aged - 2B,2411 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2023-10-08,2023-10-24,N
212,Shepherd Terrace Retirement Residence,3758 Sheppard Ave E,Retirement Home,Respiratory,COVID-19,,2023-10-08,2023-10-24,N
213,Unity Health Toronto - Houses of Providence - HOP 2W Elm,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-10-08,2023-10-25,N
214,Valleyview Residence,541 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-10-08,2023-11-07,N
215,Eatonville Care Centre - Unit 2,420 The East Mall,LTCH,Respiratory,Rhinovirus,,2023-10-07,2023-10-13,N
216,"Villa Colombo Homes for the Aged - 3 Fusco West, 3 Fusco South Wing, 3 Fusco North Wing & 3 Fidani",40 Playfair Ave,LTCH,Respiratory,COVID-19,,2023-10-07,2023-10-28,N
217,Chartwell Grenadier - 2nd Fl - AL & 4th Fl,2100 Bloor St W,Retirement Home,Respiratory,Rhinovirus,Respiratory syncytial virus,2023-10-06,2023-10-23,N
218,Deerwood Creek Care Community - 2B Unit,70 Humberline Dr,LTCH,Respiratory,COVID-19,,2023-10-06,2023-10-14,N
219,Fieldstone Commons Care Community - 1A,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,,2023-10-06,2023-10-18,N
220,North York General Hospital - Seniors Health Centre - 4th Fl,2 Buchan Crt,LTCH,Respiratory,Enterovirus/Rhinovirus,,2023-10-06,2023-10-25,N
221,Unity Health Toronto - Houses of Providence - 3W (Poplar & Walnut),3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-10-06,2023-10-20,N
222,University Health Network - Toronto Western - 5B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-06,2023-10-15,N
223,William Osler Health System - 8W Surgical Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-06,2023-10-12,N
224,Shepperd Lodge - 2nd & 6th Fl,3760 Sheppard Ave E,LTCH,Enteric,Norovirus,,2023-10-05,2023-10-17,N
225,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,COVID-19,,2023-10-04,2023-10-16,N
226,Extendicare Scarborough - 2E,3830 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,,2023-10-04,2023-10-16,N
227,Norfinch Care Community - Unit 3B,22 Norfinch Dr,LTCH,Respiratory,Rhinovirus,,2023-10-04,2023-10-12,N
228,Ukrainian Canadian Care Centre - 2nd & 3rd Fl,60 Richview Rd,LTCH,Respiratory,COVID-19,,2023-10-04,2023-11-02,N
229,West Park Healthcare Centre - 3WE,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-04,2023-10-11,N
230,Centre for Addiction and Mental Health - Unit 1-4,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,,2023-10-03,2023-10-11,N
231,"Chartwell Scarlett Heights Retirement Residence - 5th, 6th & 8th Fl",4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,,2023-10-03,2023-10-17,N
232,Copernicus Lodge - 1st Fl (1N & 1S),66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,,2023-10-03,2023-10-19,N
233,Ivan Franko Home - 2nd Fl,767 Royal York Rd,LTCH,Respiratory,Unable to identify,,2023-10-03,2023-10-13,N
234,Kennedy Lodge - Ground Fl,1400 Kennedy Rd,LTCH,Respiratory,COVID-19,,2023-10-03,2023-10-19,N
235,Unity Health Toronto - Providence - A4,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-03,2023-10-12,N
236,Cedarbrook Lodge - Transitional Care Unit - 6th Fl South,520 Markham Rd,Transitional Care,Respiratory,COVID-19,,2023-10-02,2023-10-10,N
237,Kensington Gardens - The Kensington Health Centre,45 Brunswick Ave,LTCH,Respiratory,Unable to identify,,2023-10-02,2023-10-10,N
238,Kipling Acres - 2 North Highfield Unit,2233 Kipling Ave,LTCH,Respiratory,Rhinovirus,,2023-10-02,2023-10-10,N
239,Lakeside Long Term Care Centre - 2nd Fl,150 Dunn Ave,LTCH,Respiratory,COVID-19,,2023-10-02,2023-10-16,N
240,Norwood Nursing Home,122 Tyndale St,LTCH,Respiratory,Rhinovirus,,2023-10-02,2023-10-15,N
241,The Briton House - 9th Fl,700 & 720 Mount Pleasant Rd,Retirement Home,Respiratory,COVID-19,,2023-10-02,2023-10-16,N
242,The Wexford - 5th & 6th Fl,1860 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-10-02,2023-10-27,N
243,Kipling Acres - 2 North,2233 Kipling Ave,LTCH,Respiratory,COVID-19,,2023-10-01,2023-10-19,N
244,Ivan Franko Home,767 Royal York Rd,LTCH,Respiratory,COVID-19,,2023-09-30,2023-10-18,N
245,"Advent Forestview Retirement Residence - 2nd, 3rd-5th Fl",537 Finch Ave W,Retirement Home,Respiratory,COVID-19,,2023-09-29,2023-10-21,N
246,Cedarbrook Lodge Retirement Residence - 2nd Fl,520 Markham Rd,Retirement Home,Respiratory,Rhinovirus,,2023-09-29,2023-10-13,N
247,Cedarbrook Lodge Retirement Residence - 2nd Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,,2023-09-29,2023-10-13,N
248,MacKenzie Health - RCC - 4 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-29,2023-10-10,N
249,The Salvation Army - Toronto Grace Health Centre - Specialized Care Centre - 5th Fl,1020 McNicoll Ave,Transitional Care,Respiratory,COVID-19,,2023-09-29,2023-10-14,N
250,Weston Terrace Care Community - 2B & 3B Unit,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,,2023-09-29,2023-10-24,N
251,Westside - 3rd Fl,1145 Albion Rd,LTCH,Respiratory,COVID-19,,2023-09-29,2023-10-16,N
252,William Osler Health System - 10E Medicine Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-29,2023-10-05,N
253,William Osler Health System - 10W Respirology Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-29,2023-10-05,N
254,Humber Meadows Long Term Care Home - Birch Lane North,2109 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-09-28,2023-10-07,N
255,Seven Oaks - 1st Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,,2023-09-27,2023-10-13,N
256,Extendicare Guildwood,60 Guildowood Pky,LTCH,Respiratory,Rhinovirus,,2023-09-26,2023-10-16,N
257,Unity Health Toronto - Houses of Providence - HOP 4W - Oak & Willow,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-09-26,2023-10-13,N
258,Valleyview Residence - Unit 2E,541 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-09-26,2023-10-04,N
259,"Villa Colombo - 2 Fusco North, South & West",40 Playfair Ave,LTCH,Respiratory,Parainfluenza,,2023-09-26,2023-10-15,N
260,Villa Colombo Homes for the Aged - 2 Fusco South,40 Playfair Ave,LTCH,Respiratory,COVID-19,,2023-09-26,2023-10-06,N
261,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-26,2023-10-01,N
262,Baycrest Hospital - 4 West,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-25,2023-10-01,N
263,Lakeside Long Term Care Centre - 2nd Fl,150 Dunn Ave,LTCH,Respiratory,Unable to identify,,2023-09-25,2023-10-12,N
264,McCowan Retirement Residence - 2nd & 3rd Fl,2881 Eglinton Ave E,Retirement Home,Respiratory,COVID-19,,2023-09-25,2023-10-16,N
265,Sunnybrook Health Sciences Centre - St. John's Rehab - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-24,2023-10-08,N
266,West Park Healthcare Centre - 2EA,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,,2023-09-24,2023-10-02,N
267,The Village of Humber Heights,2245 Lawrence Ave West,Retirement Home,Respiratory,COVID-19,,2023-09-23,2023-11-08,N
268,Seven Oaks - 1st & 2nd Fl,9 Neilson Rd,LTCH,Respiratory,Parainfluenza,Rhinovirus,2023-09-22,2023-10-10,N
269,Tendercare Living Centre - 2 West & 2 East,1020 McNicoll Ave,LTCH,Respiratory,COVID-19,,2023-09-22,2023-10-04,N
270,University Health Network - Bickle Centre - South 5,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-22,2023-10-12,N
271,Kingsway,4251 Dundas St W,Retirement Home,Respiratory,COVID-19,,2023-09-21,2023-10-05,N
272,Baycrest Hospital - H7W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-20,2023-10-01,N
273,Ukrainian Canadian Care Centre - 4th Fl,60 Richview Rd,LTCH,Respiratory,COVID-19,,2023-09-20,2023-10-04,N
274,Baycrest Apotex Centre - Jewish Home For The Aged - 4GS,3560 Bathurst St,LTCH,Respiratory,Enterovirus/Rhinovirus,,2023-09-19,2023-09-30,N
275,Humber Valley Terrace - 3 Fl,95 Humber College Blvd,LTCH,Respiratory,COVID-19,,2023-09-19,2023-09-29,N
276,Kensington Gardens - The Kensington Health Centre - S-2E & S-2W,25 Brunswick Ave,LTCH,Respiratory,Rhinovirus,,2023-09-19,2023-10-30,N
277,L'Chaim Retirement Homes,718 Sheppard Ave,Retirement Home,Respiratory,COVID-19,,2023-09-19,2023-10-06,N
278,The O'Neill Centre - 2nd Fl,33 Christie St,LTCH,Respiratory,COVID-19,,2023-09-19,2023-09-26,N
279,The Russell Hill Retirement Residence - 2nd Fl,262 St Clair Ave W,Retirement Home,Respiratory,Unable to identify,,2023-09-19,2023-09-23,N
280,William Osler Health System - 9W,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-19,2023-09-25,N
281,Bayshore - 6th Fl,221 Milner Ave,LTCH,Respiratory,COVID-19,,2023-09-18,2023-09-28,N
282,Hazelton Place Retirement Residence,111 Ave Rd,Retirement Home,Respiratory,COVID-19,,2023-09-18,2023-10-10,N
283,Parkland On Eglinton West - 2nd Fl,4650 Eglinton Ave W,Retirement Home,Respiratory,Unable to identify,,2023-09-18,2023-09-25,N
284,Tapestry At Village Gate West - 3rd Fl,15 Summerland Terr,Retirement Home,Respiratory,Rhinovirus,,2023-09-18,2023-09-23,N
285,University Health Network - Toronto Western - 5B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-18,2023-09-27,N
286,West Park Healthcare Centre - 3WD,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,,2023-09-18,2023-09-27,N
287,Yee Hong Centre - Scarborough Finch - 5th & 6th Fl,60 Scottfield Dr,LTCH,Respiratory,COVID-19,,2023-09-18,2023-10-11,N
288,The Dunfield Retirement Residence - Ground Fl (Dining Rm),77 Dunfield Ave,Retirement Home,Respiratory,COVID-19,,2023-09-17,2023-09-26,N
289,The Village of Humber Heights - Weston Unit,2245 Lawrence Ave W,LTCH,Respiratory,Unable to identify,,2023-09-17,2023-09-26,N
290,Chartwell White Eagle Long Term Care Residence - 4th Fl,138 Dowling Ave,LTCH,Respiratory,Coronavirus*,Rhinovirus,2023-09-16,2023-10-02,N
291,William Osler Health System - 9E,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-16,2023-09-25,N
292,Castleview Wychwood Towers - 5th & 6th Fl,351 Christie St,LTCH,Respiratory,COVID-19,,2023-09-15,2023-10-03,N
293,Ina Grafton Gage Home,40 Bell Estate Rd,LTCH,Respiratory,COVID-19,,2023-09-15,2023-10-17,N
294,Kennedy Lodge - Scarborough - 3 North,1400 Kennedy Rd,LTCH,Respiratory,COVID-19,,2023-09-15,2023-09-22,N
295,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,,2023-09-15,2023-09-29,N
296,Valleyview Residence - 2E,541 Finch Ave W,LTCH,Respiratory,Rhinovirus,,2023-09-15,2023-09-18,N
297,Baycrest Apotex Centre - Jewish Home For The Aged - 3EI,3560 Bathurst St,LTCH,Respiratory,Rhinovirus,,2023-09-14,2023-09-18,N
298,Copernicus Lodge - 4 North,66 Roncesvalles Ave,LTCH,Respiratory,Rhinovirus,,2023-09-14,2023-09-25,N
299,North Park Nursing Home,450 Rustic Rd,LTCH,Respiratory,COVID-19,,2023-09-14,2023-10-10,N
300,Carefirst Transitional Care Centre - 3rd Fl,300 Silver Star Blvd,Transitional Care,Respiratory,COVID-19,,2023-09-13,2023-09-26,N
301,Fairview Nursing Home,14 Cross St,LTCH,Respiratory,COVID-19,,2023-09-13,2023-10-10,N
302,One Kenton Place,1-3 Kenton Dr,LTCH,Respiratory,COVID-19,,2023-09-13,2023-09-25,N
303,Villa Colombo Homes for the Aged - 4th Fl North & South (Fusco Building),40 Playfair Ave,LTCH,Respiratory,COVID-19,,2023-09-13,2023-09-26,N
304,William Osler Health System - 6W Medicine Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-13,2023-09-18,N
305,Belmont House - 2E & 4WW,55 Belmont St,LTCH,Respiratory,COVID-19,,2023-09-12,2023-10-06,N
306,Chartwell Gibson Long Term Care Residence - 1st Fl,1925 Steeles Ave E,LTCH,Respiratory,COVID-19,,2023-09-12,2023-09-22,N
307,Tapestry at Village Gate West,15 Summerland Terr,Retirement Home,Respiratory,COVID-19,,2023-09-12,2023-10-04,N
308,Wesburn Manor - Unit 2S & 2N,400 The West Mall,LTCH,Respiratory,Rhinovirus,,2023-09-12,2023-10-04,N
309,Altamont Care Community - Wing 4,92 Island Rd,LTCH,Respiratory,COVID-19,,2023-09-11,2023-09-25,N
310,"Chartwell Grenadier Retirement Residence - Units B4, B3 & C5",2100 Bloor St W,Retirement Home,Respiratory,COVID-19,,2023-09-11,2023-09-28,N
311,Extendicare Bayview - 1st Fl South & East Wing,550 Cummer Ave,LTCH,Respiratory,COVID-19,,2023-09-11,2023-10-02,N
312,Main Street Terrace - 2nd & 3rd Fl,77 Main St,LTCH,Respiratory,Rhinovirus,,2023-09-11,2023-10-05,N
313,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,,2023-09-11,2023-09-23,N
314,Yee Hong Centre - McNicoll Site - Ground & 5th Fl,2311 McNicoll Ave,LTCH,Respiratory,Rhinovirus,Respiratory syncytial virus,2023-09-11,2023-10-10,N
315,The Heritage Nursing Home - 2nd Fl,1195 Queen St E,LTCH,Respiratory,Rhinovirus,,2023-09-09,2023-09-29,N
316,Eatonville Care Centre - Unit 5,420 The East Mall,LTCH,Respiratory,Rhinovirus,,2023-09-08,2023-09-21,N
317,The Heritage Nursing Home - 3rd & 4th Fl,1195 Queen St E,LTCH,Respiratory,COVID-19,,2023-09-08,2023-10-03,N
318,Centre for Addiction and Mental Health - Queen Street Site - PRT 5,1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,,2023-09-07,2023-09-17,N
319,Sunnybrook Veterans Centre - LSSW Veterans,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,,2023-09-07,2023-09-22,N
320,Baycrest Apotex Centre - Jewish Home for the Aged - 2RF,3560 Bathurst St,LTCH,Respiratory,Rhinovirus,,2023-09-06,2023-09-15,N
321,Harold and Grace Baker Centre - A Wing,1 Northwestern Ave,LTCH,Respiratory,Rhinovirus,,2023-09-06,2023-09-22,N
322,Belmont House,52 McMurrich St,Retirement Home,Respiratory,COVID-19,,2023-09-05,2023-09-15,N
323,Belmont House - 4WW,55 Belmont St,LTCH,Respiratory,Enterovirus/Rhinovirus,,2023-09-05,2023-10-02,N
324,Carefree Lodge - 2nd Fl,306 Finch Ave E,LTCH,Respiratory,COVID-19,,2023-09-05,2023-09-19,N
325,Centre For Addiction And Mental Health - Unit 1 & 2,1001 Queen Ave W,Hospital-Psychiatric,Respiratory,Unable to identify,,2023-09-05,2023-09-19,N
326,"Presentation Manor - 1st, 3rd & 4th Fl",61 Fairfax Cres,Retirement Home,Respiratory,COVID-19,,2023-09-05,2023-09-22,N
327,Trillium Health Partners - McCall Continuing Care - 3rd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-05,2023-09-26,N
328,Westside - 4 Fl,1145 Albion Rd,LTCH,Respiratory,Unable to identify,,2023-09-05,2023-09-14,N
329,Bendale Acres - 4 Fl,2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2023-09-04,2023-09-22,N
330,Midland Gardens Care Community - 2nd & 5th Fl,130 Midland Ave,LTCH,Respiratory,COVID-19,,2023-09-03,2023-10-04,N
331,Isabel and Arthur Meighen Manor - 2nd & 3rd Fl,155 Millwood Rd,LTCH,Respiratory,Rhinovirus,,2023-09-01,2023-09-21,N
332,North York General Hospital - General Site - 7N,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-01,2023-09-11,N
333,Rockcliffe Care Community - 2nd & 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-09-01,2023-10-02,N
334,Tony Stacey Centre for Veterans' Care - 2nd Fl,59 Lawson Rd,LTCH,Respiratory,COVID-19,,2023-09-01,2023-09-15,N
335,"Valleyview Residence - 2E, 3W, 4W, & 4E",541 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-09-01,2023-09-27,N
336,Chester Village - 2W,3555 Danforth Ave,LTCH,Respiratory,Rhinovirus,,2023-08-31,2023-09-11,N
337,Humber Meadows Long Term Care Home,2109 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-08-31,2023-09-13,N
338,Leaside - 2nd & 4th Fl,14 William Morgan Dr,Retirement Home,Respiratory,Rhinovirus,,2023-08-31,2023-09-09,N
339,The O'Neill Centre - 5th Fl,33 Christie St,LTCH,Respiratory,Rhinovirus,,2023-08-31,2023-09-13,N
340,Castleview Wychwood Towers - 7C,351 Christie St,LTCH,Respiratory,COVID-19,,2023-08-30,2023-09-12,N
341,Hazelton Place Retirement Residence,111 Ave Rd,Retirement Home,Respiratory,COVID-19,,2023-08-30,2023-09-12,N
342,Unity Health Toronto - St. Joseph's - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2023-08-29,2023-09-06,N
343,Chartwell Lansing Retirement Residence - 2nd & 3rd Fl,10 Senlac Rd,Retirement Home,Respiratory,Rhinovirus,,2023-08-28,2023-09-21,N
344,Chartwell Lansing Retirement Residence - 2nd & 3rd Fl,10 Senlac Rd,Retirement Home,Respiratory,COVID-19,,2023-08-28,2023-09-15,N
345,The Wexford - 5th Fl,1860 Lawrence Ave,LTCH,Respiratory,Rhinovirus,,2023-08-28,2023-09-08,N
346,Deerwood Creek Care Community - 3rd Fl,70 Humberline Dr,LTCH,Respiratory,COVID-19,,2023-08-26,2023-09-19,N
347,Labdara Lithuanian Nursing Home - 2nd Fl,5 Resurrection Rd,LTCH,Respiratory,Unable to identify,,2023-08-26,2023-09-05,N
348,The Village of Humber Heights - Brule & Lambton Neighborhoods,2245 Lawrence Ave W,LTCH,Respiratory,COVID-19,,2023-08-25,2023-09-07,N
349,Cedarvale Terrace - 4th & 6th Fl,429 Walmer Rd,LTCH,Respiratory,Rhinovirus,,2023-08-24,2023-09-19,N
350,Cheltenham Care Community - 2nd Fl,5935 Bathurst St,LTCH,Respiratory,COVID-19,,2023-08-23,2023-08-25,N
351,Mon Sheong Foundation - 4th Fl,2030 McNicoll Ave,LTCH,Respiratory,Rhinovirus,,2023-08-22,2023-09-05,N
352,Cedarbrook Lodge TCU - 6th Fl,520 Markham Rd,Transitional Care,Respiratory,COVID-19,,2023-08-21,2023-09-06,N
353,"Copernicus Lodge - 2S, 3S & 4S",66 Roncesvalles Ave,LTCH,Respiratory,Rhinovirus,,2023-08-21,2023-09-07,N
354,Extendicare Rouge Valley - Cedar Ridge House - 2nd Fl,551 Conlins Rd,LTCH,Respiratory,Rhinovirus,,2023-08-21,2023-09-06,N
355,The Jewish Home for the Aged - 5 South,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2023-08-21,2023-08-28,N
356,Humber Meadows Long-Term Care Home - 4th Fl,2109 Finch Ave W,LTCH,Respiratory,Unable to identify,,2023-08-20,2023-09-07,N
357,Centre for Addiction and Mental Health - Queen Site - Unit CCC 4,1001 Queen St W,Hospital-Psychiatric,Enteric,Unable to identify,,2023-08-19,2023-08-28,N
358,Bendale Acres - 1st Fl,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-08-18,2023-08-28,N
359,Forest Hill Place - 7th Fl,645 Castlefield Ave,Retirement Home,Respiratory,COVID-19,,2023-08-18,2023-08-28,N
360,Kipling Acres - 2N CL Unit,2233 Kipling Ave,LTCH,Respiratory,COVID-19,,2023-08-18,2023-08-25,N
361,The Claremont - 2nd Fl,305 Balliol St,Retirement Home,Respiratory,COVID-19,,2023-08-18,2023-08-28,N
362,University Health Network - Toronto Western - 9A,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,,2023-08-18,2023-08-28,N
363,Chester Village - 4E,3555 Danforth Ave,LTCH,Respiratory,Rhinovirus,,2023-08-16,2023-08-26,N
364,Eatonville Care Centre - 2nd Fl,420 The East Mall,LTCH,Respiratory,COVID-19,,2023-08-16,2023-08-23,N
365,Ina Grafton Gage Home - Unit 1,40 Bell Estate Rd,LTCH,Respiratory,Rhinovirus,,2023-08-16,2023-08-23,N
366,Villa Colombo Homes For The Aged Inc. - Fusco (4th & 5th Fl),40 Playfair Ave,LTCH,Respiratory,Parainfluenza,Rhinovirus,2023-08-16,2023-09-05,N
367,The Kensington Gardens South - S-3E & S-3W,25 Brunswick Ave,LTCH,Respiratory,Parainfluenza,,2023-08-15,2023-09-20,N
368,Belmont House - 3 Walker Wing,55 Belmont St,LTCH,Respiratory,COVID-19,,2023-08-14,2023-09-09,N
369,Chartwell Westbury Long Term Care Residence - 8th Fl,495 The West Mall,LTCH,Respiratory,Rhinovirus,,2023-08-14,2023-08-24,N
370,"Cummer Lodge - 2N, 3S & 4S",205 Cummer Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2023-08-14,2023-08-30,N
371,Eatonville Care Centre - 5 Fl,420 The East Mall,LTCH,Respiratory,Rhinovirus,,2023-08-14,2023-09-05,N
372,Fountain View Care Community - 3A,1800 O'Connor Dr,LTCH,Respiratory,Coronavirus*,,2023-08-14,2023-08-24,N
373,Hawthorne Place Care Centre - 3rd Fl - Pine 3 East Wing,2045 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-08-14,2023-08-23,N
374,Hazelton Place Retirement Residence,111 Avenue Rd,LTCH,Respiratory,Rhinovirus,,2023-08-14,2023-08-31,N
375,Tony Stacey Centre for Veterans Care - 1st Fl North Wing,59 Lawson Rd,LTCH,Respiratory,Unable to identify,,2023-08-14,2023-08-23,N
376,Westside - 2nd & 3rd Fl,1145 Albion Rd,LTCH,Respiratory,Rhinovirus,,2023-08-14,2023-08-25,N
377,Yee Hong Centre - Scarborough Finch - 6th Fl,60 Scottfield Dr,LTCH,Respiratory,COVID-19,,2023-08-14,2023-08-29,N
378,Norfinch Care Community - 2B,22 Norfinch Dr,LTCH,Respiratory,COVID-19,,2023-08-13,2023-08-31,N
379,Centre for Addiction And Mental Health - Queen Site - PRT5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,,2023-08-11,2023-08-18,N
380,Centre for Addiction And Mental Health - Queen Site - Unit CCC 3,1001 Queen St W,Hospital-Psychiatric,Enteric,Unable to identify,,2023-08-11,2023-08-15,N
381,McCall Centre - Interim LTC Unit,140 Sherway Dr,LTCH,Respiratory,Rhinovirus,,2023-08-11,2023-08-21,N
382,Chartwell Lansing Retirement Residence - 2nd & 3rd Fl,10 Senlac Rd,Retirement Home,Respiratory,COVID-19,,2023-08-10,2023-08-18,N
383,Yee Hong Centre for Geriatric Care - 4th Fl,2311 McNicoll Ave,LTCH,Respiratory,COVID-19,,2023-08-10,2023-08-29,N
384,Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,COVID-19,,2023-08-09,2023-08-29,N
385,Villa Colombo - 2nd Fl (Fidani),40 Playfair Ave,LTCH,Respiratory,Unable to identify,,2023-08-09,2023-08-15,N
386,Cummer Lodge - 2N & 3S,205 Cummer Ave,LTCH,Respiratory,COVID-19,,2023-08-08,2023-08-30,N
387,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Respiratory,Metapneumovirus,,2023-08-08,2023-08-16,N
388,Sts. Peter and Paul Residence - 4th Fl,221 Milner Ave,Retirement Home,Respiratory,Unable to identify,,2023-08-08,2023-08-17,N
389,Sunnybrook Health Sciences Centre - Sunnybrook Veterans' Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,,2023-08-08,2023-08-16,N
390,Sage Care Retirement Home - 3rd Fl ABC Unit,147 Elder St,Retirement Home,Respiratory,COVID-19,,2023-08-07,2023-08-16,N
391,Amica On The Avenue - 3rd Fl,1066 Avenue Rd,Retirement Home,Respiratory,Rhinovirus,,2023-08-06,2023-08-14,N
392,Chartwell Trilogy Long Term Care Residence - 5th Fl,340 McCowan Rd,LTCH,Respiratory,Rhinovirus,Enterovirus,2023-08-06,2023-08-19,N
393,Don Mills Retirement Residence - 4th & 6th Fl,2 Green Belt Dr,Retirement Home,Respiratory,Unable to identify,,2023-08-06,2023-08-15,N
394,The Wexford - 4th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,,2023-08-04,2023-08-14,N
395,Copernicus Lodge - 1st Fl,66 Roncesvalles Ave,LTCH,Enteric,Norovirus,,2023-08-03,2023-08-20,N
396,University Health Network - Toronto Western - 8A,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,,2023-08-03,2023-08-17,N
397,North Park Nursing Home - 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Rhinovirus,,2023-08-02,2023-08-10,N
398,Harmony Hills Care Community - 3B,1800 O'Connor Dr,LTCH,Respiratory,Rhinovirus,,2023-08-01,2023-08-09,N
399,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-08-01,2023-08-15,N
400,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2023-07-31,2023-08-08,N
401,Hawthorne Place Care Centre - 2nd & 3rd Fl,2045 Finch Ave W,LTCH,Respiratory,Rhinovirus,,2023-07-31,2023-08-21,N
